question_i,question_j,winner,style
In which country is the Sky Train Rail bridge?,Of which African country is Niamey the capital?,1,confident_2
In which country is the Sky Train Rail bridge?,Who or what was Gentle Ben in the 60s TV series?,2,confident_2
In which country is the Sky Train Rail bridge?,Which founder of the company Triad was accused by the USA of receiving bribes?,1,confident_2
In which country is the Sky Train Rail bridge?,"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",1,confident_2
What was the Paramount Film Company originally called?,Which founder of the company Triad was accused by the USA of receiving bribes?,1,confident_2
What was the Paramount Film Company originally called?,Who was the next British Prime Minister after Arthur Balfour?,1,confident_2
What was the Paramount Film Company originally called?,"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",1,confident_2
What was the Paramount Film Company originally called?,Who was the last inmate of Spandau jail in Berlin?,1,confident_2
What was the Paramount Film Company originally called?,To the nearest million what is the population of Australia?,1,confident_2
What was the Paramount Film Company originally called?,Who had an 80s No 1 hit with Hold On To The Nights?,2,confident_2
What was the Paramount Film Company originally called?,Of which African country is Niamey the capital?,-1,confident_2
What was the Paramount Film Company originally called?,In which state was Gene Vincent born?,1,confident_2
What was the Paramount Film Company originally called?,Who first hosted Family Feud?,2,confident_2
What was the Paramount Film Company originally called?,Which musical featured the song The Street Where You Live?,1,confident_2
Which founder of the company Triad was accused by the USA of receiving bribes?,Who was the next British Prime Minister after Arthur Balfour?,1,confident_2
Which founder of the company Triad was accused by the USA of receiving bribes?,Why is the site of a boxing match called a ring when it's square?,2,confident_2
Which founder of the company Triad was accused by the USA of receiving bribes?,Which Brit broke the land speed record in 1990 in Thrust 2?,2,confident_2
Which founder of the company Triad was accused by the USA of receiving bribes?,In what state was playwright Tennessee Williams born?,1,confident_2
Which founder of the company Triad was accused by the USA of receiving bribes?,"In Greek mythology, what were the names of Oedipus's parents?",1,confident_2
Which founder of the company Triad was accused by the USA of receiving bribes?,Who is the most successful UK solo artist in the USA?,1,confident_2
Which founder of the company Triad was accused by the USA of receiving bribes?,Robert Kirkpatrick of California grew the world's biggest what?,2,confident_2
Which founder of the company Triad was accused by the USA of receiving bribes?,Which drink did The Spice Girls promote?,2,confident_2
Which founder of the company Triad was accused by the USA of receiving bribes?,"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",1,confident_2
Which founder of the company Triad was accused by the USA of receiving bribes?,Who had a Too Legit To Quit Tour?,1,confident_2
Who was the first person after Scott to reach the South Pole overland?,What claimed the life of singer Kathleen Ferrier?,2,confident_2
Who was the first person after Scott to reach the South Pole overland?,What star sign is Jamie Lee Curtis?,2,confident_2
Who was the first person after Scott to reach the South Pole overland?,Bandar Seri Begawan International airport is in which country?,2,confident_2
Who was the first person after Scott to reach the South Pole overland?,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,2,confident_2
Who was the first person after Scott to reach the South Pole overland?,What was the name of Michael Jackson's autobiography written in 1988?,1,confident_2
Who was the first person after Scott to reach the South Pole overland?,"In the Bible, who did the sun and moon stand still before?",1,confident_2
Who was the first person after Scott to reach the South Pole overland?,Who was the defending champion when Martina Navratilova first won Wimbledon singles?,2,confident_2
Who was the first person after Scott to reach the South Pole overland?,What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,1,confident_2
Who was the first person after Scott to reach the South Pole overland?,Which drink did The Spice Girls promote?,1,confident_2
Who was the first person after Scott to reach the South Pole overland?,On what date in 1969 did Neil Armstrong first set foot on the Moon?,2,confident_2
Which journalist first told the world about the My Lai massacre?,Where in Canada is the Lion's Gate bridge?,1,confident_2
Which journalist first told the world about the My Lai massacre?,Bandar Seri Begawan International airport is in which country?,2,confident_2
Which journalist first told the world about the My Lai massacre?,Dave Gilmore and Roger Waters were in which rock group?,1,confident_2
Which journalist first told the world about the My Lai massacre?,In which country is the Sky Train Rail bridge?,1,confident_2
Which journalist first told the world about the My Lai massacre?,What was Eddie Murphy's first movie?,2,confident_2
Which journalist first told the world about the My Lai massacre?,What is Osbert Lancaster best known for producing?,1,confident_2
Which journalist first told the world about the My Lai massacre?,"In Greek mythology, who were Arges, Brontes and Steropes?",2,confident_2
Which journalist first told the world about the My Lai massacre?,Which musical featured the song The Street Where You Live?,2,confident_2
Which journalist first told the world about the My Lai massacre?,What is Mel Gibson's middle name?,1,confident_2
Which journalist first told the world about the My Lai massacre?,"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",1,confident_2
What is the name of Terence and Shirley Conran's dress designer son?,Richard Daley was mayor of which city for 21 years?,2,confident_2
What is the name of Terence and Shirley Conran's dress designer son?,What star sign is Jamie Lee Curtis?,2,confident_2
What is the name of Terence and Shirley Conran's dress designer son?,Who had a 70s No 1 hit with Let's Do It Again?,2,confident_2
What is the name of Terence and Shirley Conran's dress designer son?,Where in England was actor Nigel Hawthorne born?,2,confident_2
What is the name of Terence and Shirley Conran's dress designer son?,Of which African country is Niamey the capital?,1,confident_2
What is the name of Terence and Shirley Conran's dress designer son?,Who was the next British Prime Minister after Arthur Balfour?,2,confident_2
What is the name of Terence and Shirley Conran's dress designer son?,Where was horse racing's Breeder's Cup held in 1987?,2,confident_2
What is the name of Terence and Shirley Conran's dress designer son?,What is the Japanese share index called?,1,confident_2
What is the name of Terence and Shirley Conran's dress designer son?,Which 70s show was based on the British show Till Death Us Do Part?,2,confident_2
What is the name of Terence and Shirley Conran's dress designer son?,In what year's Olympics were electric timing devices and a public-address system used for the first time?,2,confident_2
Which drink did The Spice Girls promote?,Kagoshima international airport is in which country?,2,confident_2
Which drink did The Spice Girls promote?,Who directed the classic 30s western Stagecoach?,2,confident_2
Which drink did The Spice Girls promote?,"In the Bible, who did the sun and moon stand still before?",1,confident_2
Which drink did The Spice Girls promote?,Where did the Shinning Path terrorists operate?,1,confident_2
Which drink did The Spice Girls promote?,Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,2,confident_2
Which drink did The Spice Girls promote?,Who recorded the When Harry Met Sally soundtrack?,2,confident_2
Which drink did The Spice Girls promote?,Who had an 80s No 1 hit with Hold On To The Nights?,1,confident_2
Which drink did The Spice Girls promote?,In which sport could the Pacers take on the Pistons?,2,confident_2
Which drink did The Spice Girls promote?,Who was the man behind The Chipmunks?,-1,confident_2
Which drink did The Spice Girls promote?,Where in England was actor Nigel Hawthorne born?,1,confident_2
Who was the youngest brother in the Beach Boys?,Who was the next British Prime Minister after Arthur Balfour?,2,confident_2
Who was the youngest brother in the Beach Boys?,Art Garfunkel trained for which profession although he didn't qualify?,1,confident_2
Who was the youngest brother in the Beach Boys?,What comic strip character was named after heavyweight boxing champion James J. Jeffries?,1,confident_2
Who was the youngest brother in the Beach Boys?,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",1,confident_2
Who was the youngest brother in the Beach Boys?,Where in Canada is the Lion's Gate bridge?,2,confident_2
Who was the youngest brother in the Beach Boys?,Bandar Seri Begawan International airport is in which country?,2,confident_2
Who was the youngest brother in the Beach Boys?,What was the Paramount Film Company originally called?,1,confident_2
Who was the youngest brother in the Beach Boys?,Who was the only Englishman to become Pope?,1,confident_2
Who was the youngest brother in the Beach Boys?,Who was the director of the CIA from 1976-81?,1,confident_2
Who was the youngest brother in the Beach Boys?,Who was the first person after Scott to reach the South Pole overland?,1,confident_2
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,In which decade did stereo records first go on sale?,2,confident_2
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,What claimed the life of singer Kathleen Ferrier?,2,confident_2
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,"""In which movie did Garbo say, """"I want to be alone"""".""",1,confident_2
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,Art Garfunkel trained for which profession although he didn't qualify?,2,confident_2
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,Who had an 80s No 1 hit with Hold On To The Nights?,2,confident_2
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,What was Eddie Murphy's first movie?,1,confident_2
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,Who had a 70s No 1 hit with Let's Do It Again?,2,confident_2
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,What was the last US state to reintroduce alcohol after prohibition?,1,confident_2
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,To the nearest million what is the population of Australia?,2,confident_2
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,What was Truman Capote's last name before he was adopted by his stepfather?,1,confident_2
Who first hosted Family Feud?,Where in Canada is the Lion's Gate bridge?,1,confident_2
Who first hosted Family Feud?,Which country does the airline TAAG come from?,2,confident_2
Who first hosted Family Feud?,Who had a Too Legit To Quit Tour?,2,confident_2
Who first hosted Family Feud?,Where was horse racing's Breeder's Cup held in 1987?,1,confident_2
Who first hosted Family Feud?,"In Greek mythology, who were Arges, Brontes and Steropes?",1,confident_2
Who first hosted Family Feud?,River Phoenix died during the making of which movie?,2,confident_2
Who first hosted Family Feud?,Kagoshima international airport is in which country?,2,confident_2
Who first hosted Family Feud?,Which Brit broke the land speed record in 1990 in Thrust 2?,2,confident_2
Who first hosted Family Feud?,In the 80s who wrote the novel Empire of The Sun?,2,confident_2
Who first hosted Family Feud?,What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,1,confident_2
What did the Lone Ranger's title Kemo Sabe mean in Apache?,In which decade did stereo records first go on sale?,2,confident_2
What did the Lone Ranger's title Kemo Sabe mean in Apache?,What was Walter Matthau's first movie?,2,confident_2
What did the Lone Ranger's title Kemo Sabe mean in Apache?,"In Greek mythology, what were the names of Oedipus's parents?",2,confident_2
What did the Lone Ranger's title Kemo Sabe mean in Apache?,How was the European Recovery Program in the 1940s more commonly known?,1,confident_2
What did the Lone Ranger's title Kemo Sabe mean in Apache?,Who was the first US-born winner of golf's British Open?,1,confident_2
What did the Lone Ranger's title Kemo Sabe mean in Apache?,"In the very first Boston Marathon, 15 runners competed. How many finished?",1,confident_2
What did the Lone Ranger's title Kemo Sabe mean in Apache?,"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",1,confident_2
What did the Lone Ranger's title Kemo Sabe mean in Apache?,Who directed the classic 30s western Stagecoach?,2,confident_2
What did the Lone Ranger's title Kemo Sabe mean in Apache?,What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,1,confident_2
What did the Lone Ranger's title Kemo Sabe mean in Apache?,In what state was playwright Tennessee Williams born?,2,confident_2
Who or what was Gentle Ben in the 60s TV series?,Which 70s show was based on the British show Till Death Us Do Part?,1,confident_2
Who or what was Gentle Ben in the 60s TV series?,Who was the defending champion when Martina Navratilova first won Wimbledon singles?,1,confident_2
Who or what was Gentle Ben in the 60s TV series?,What is Osbert Lancaster best known for producing?,2,confident_2
Who or what was Gentle Ben in the 60s TV series?,Which musical featured the song The Street Where You Live?,2,confident_2
Who or what was Gentle Ben in the 60s TV series?,If I Were A Rich Man Was a big hit from which stage show?,1,confident_2
Who or what was Gentle Ben in the 60s TV series?,Who was the first US-born winner of golf's British Open?,1,confident_2
Who or what was Gentle Ben in the 60s TV series?,"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",2,confident_2
Who or what was Gentle Ben in the 60s TV series?,Who was the first person after Scott to reach the South Pole overland?,2,confident_2
Who or what was Gentle Ben in the 60s TV series?,Who is the most successful UK solo artist in the USA?,1,confident_2
Who or what was Gentle Ben in the 60s TV series?,Who had a Too Legit To Quit Tour?,2,confident_2
Which 70s show was based on the British show Till Death Us Do Part?,Which volcano in Tanzania is the highest mountain in Africa?,2,confident_2
Which 70s show was based on the British show Till Death Us Do Part?,Which Brit broke the land speed record in 1990 in Thrust 2?,2,confident_2
Which 70s show was based on the British show Till Death Us Do Part?,Where in Canada is the Lion's Gate bridge?,2,confident_2
Which 70s show was based on the British show Till Death Us Do Part?,What is the only novel to top the best-seller lists for two consecutive years?,1,confident_2
Which 70s show was based on the British show Till Death Us Do Part?,What was the profession of Paul Strand (1890 - 1976)?,2,confident_2
Which 70s show was based on the British show Till Death Us Do Part?,Art Garfunkel trained for which profession although he didn't qualify?,1,confident_2
Which 70s show was based on the British show Till Death Us Do Part?,What would Kevin Scale have been called if it had adopted the originator's first name?,1,confident_2
Which 70s show was based on the British show Till Death Us Do Part?,"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",1,confident_2
Which 70s show was based on the British show Till Death Us Do Part?,Who or what was Gentle Ben in the 60s TV series?,2,confident_2
Which 70s show was based on the British show Till Death Us Do Part?,Where was horse racing's Breeder's Cup held in 1987?,2,confident_2
On what date in 1969 did Neil Armstrong first set foot on the Moon?,What was Walter Matthau's first movie?,1,confident_2
On what date in 1969 did Neil Armstrong first set foot on the Moon?,Which actress was voted Miss Greenwich Village in 1942?,1,confident_2
On what date in 1969 did Neil Armstrong first set foot on the Moon?,Which Lloyd Webber musical premiered in the US on 10th December 1993?,1,confident_2
On what date in 1969 did Neil Armstrong first set foot on the Moon?,Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,1,confident_2
On what date in 1969 did Neil Armstrong first set foot on the Moon?,What was the profession of Paul Strand (1890 - 1976)?,2,confident_2
On what date in 1969 did Neil Armstrong first set foot on the Moon?,In which sport could the Pacers take on the Pistons?,1,confident_2
On what date in 1969 did Neil Armstrong first set foot on the Moon?,To the nearest million what is the population of Australia?,1,confident_2
On what date in 1969 did Neil Armstrong first set foot on the Moon?,Which founder of the company Triad was accused by the USA of receiving bribes?,1,confident_2
On what date in 1969 did Neil Armstrong first set foot on the Moon?,What star sign is Jamie Lee Curtis?,2,confident_2
On what date in 1969 did Neil Armstrong first set foot on the Moon?,What would Kevin Scale have been called if it had adopted the originator's first name?,1,confident_2
Bandar Seri Begawan International airport is in which country?,What claimed the life of singer Kathleen Ferrier?,1,confident_2
Bandar Seri Begawan International airport is in which country?,What was the profession of Paul Strand (1890 - 1976)?,1,confident_2
Bandar Seri Begawan International airport is in which country?,What is Osbert Lancaster best known for producing?,1,confident_2
Bandar Seri Begawan International airport is in which country?,Which US No 1 single came from Diana Ross's platinum album Diana?,1,confident_2
Bandar Seri Begawan International airport is in which country?,What is the Japanese share index called?,2,confident_2
Bandar Seri Begawan International airport is in which country?,Who was the youngest brother in the Beach Boys?,1,confident_2
Bandar Seri Begawan International airport is in which country?,To the nearest million what is the population of Australia?,1,confident_2
Bandar Seri Begawan International airport is in which country?,Where did the Shinning Path terrorists operate?,1,confident_2
Bandar Seri Begawan International airport is in which country?,In the 80s who wrote the novel Empire of The Sun?,2,confident_2
Bandar Seri Begawan International airport is in which country?,Where was horse racing's Breeder's Cup held in 1987?,1,confident_2
What was the profession of Paul Strand (1890 - 1976)?,Art Garfunkel trained for which profession although he didn't qualify?,1,confident_2
What was the profession of Paul Strand (1890 - 1976)?,"In the Bible, who saw the handwriting on the wall?",2,confident_2
What was the profession of Paul Strand (1890 - 1976)?,Which highway was Revisited in a classic 60s album by Bob Dylan?,2,confident_2
What was the profession of Paul Strand (1890 - 1976)?,"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",1,confident_2
What was the profession of Paul Strand (1890 - 1976)?,Which Lloyd Webber musical premiered in the US on 10th December 1993?,1,confident_2
What was the profession of Paul Strand (1890 - 1976)?,What is the name of Terence and Shirley Conran's dress designer son?,1,confident_2
What was the profession of Paul Strand (1890 - 1976)?,What was the name of Michael Jackson's autobiography written in 1988?,2,confident_2
What was the profession of Paul Strand (1890 - 1976)?,Who recorded the When Harry Met Sally soundtrack?,1,confident_2
What was the profession of Paul Strand (1890 - 1976)?,"In the Bible, who did the sun and moon stand still before?",2,confident_2
What was the profession of Paul Strand (1890 - 1976)?,What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,2,confident_2
Who was the man behind The Chipmunks?,Which country does the airline TAAG come from?,2,doubtful_1
Who was the man behind The Chipmunks?,Rita Coolidge sang the title song for which Bond film?,2,doubtful_1
Who was the man behind The Chipmunks?,In which state was Gene Vincent born?,2,doubtful_1
Who was the man behind The Chipmunks?,What is the name of Terence and Shirley Conran's dress designer son?,1,doubtful_1
Who was the man behind The Chipmunks?,Which US No 1 single came from Diana Ross's platinum album Diana?,1,doubtful_1
Who was the man behind The Chipmunks?,In which country is the Sky Train Rail bridge?,2,doubtful_1
Who was the man behind The Chipmunks?,Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,2,doubtful_1
Who was the man behind The Chipmunks?,Who had an 80s No 1 hit with Hold On To The Nights?,2,doubtful_1
Who was the man behind The Chipmunks?,Which musical featured the song The Street Where You Live?,1,doubtful_1
Who was the man behind The Chipmunks?,What star sign is Jamie Lee Curtis?,2,doubtful_1
What star sign is Jamie Lee Curtis?,Otis Barton was a pioneer in exploring where?,2,doubtful_1
What star sign is Jamie Lee Curtis?,How was the European Recovery Program in the 1940s more commonly known?,2,doubtful_1
What star sign is Jamie Lee Curtis?,What is Osbert Lancaster best known for producing?,2,doubtful_1
What star sign is Jamie Lee Curtis?,Which artist David was born in Bradford UK?,2,doubtful_1
What star sign is Jamie Lee Curtis?,"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",2,doubtful_1
What star sign is Jamie Lee Curtis?,What was Eddie Murphy's first movie?,2,doubtful_1
What star sign is Jamie Lee Curtis?,In what year's Olympics were electric timing devices and a public-address system used for the first time?,2,doubtful_1
What star sign is Jamie Lee Curtis?,In which sport could the Pacers take on the Pistons?,2,doubtful_1
What star sign is Jamie Lee Curtis?,What did the Lone Ranger's title Kemo Sabe mean in Apache?,2,doubtful_1
What star sign is Jamie Lee Curtis?,What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,1,doubtful_1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Which founder of the company Triad was accused by the USA of receiving bribes?,1,doubtful_1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,What was the Paramount Film Company originally called?,2,doubtful_1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Richard Daley was mayor of which city for 21 years?,2,doubtful_1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,What would Kevin Scale have been called if it had adopted the originator's first name?,1,doubtful_1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,In which country is the Sky Train Rail bridge?,2,doubtful_1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Who recorded the When Harry Met Sally soundtrack?,1,doubtful_1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,What is the only novel to top the best-seller lists for two consecutive years?,1,doubtful_1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Which US No 1 single came from Diana Ross's platinum album Diana?,2,doubtful_1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,"In the Bible, who saw the handwriting on the wall?",2,doubtful_1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,What was Walter Matthau's first movie?,1,doubtful_1
Who was the next British Prime Minister after Arthur Balfour?,Who is the most successful UK solo artist in the USA?,2,doubtful_1
Who was the next British Prime Minister after Arthur Balfour?,What claimed the life of singer Kathleen Ferrier?,2,doubtful_1
Who was the next British Prime Minister after Arthur Balfour?,"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",2,doubtful_1
Who was the next British Prime Minister after Arthur Balfour?,What star sign is Jamie Lee Curtis?,1,doubtful_1
Who was the next British Prime Minister after Arthur Balfour?,Who was the youngest brother in the Beach Boys?,-1,doubtful_1
Who was the next British Prime Minister after Arthur Balfour?,Kagoshima international airport is in which country?,2,doubtful_1
Who was the next British Prime Minister after Arthur Balfour?,Which Lloyd Webber musical premiered in the US on 10th December 1993?,2,doubtful_1
Who was the next British Prime Minister after Arthur Balfour?,"In the very first Boston Marathon, 15 runners competed. How many finished?",2,doubtful_1
Who was the next British Prime Minister after Arthur Balfour?,"""In which movie did Garbo say, """"I want to be alone"""".""",2,doubtful_1
Who was the next British Prime Minister after Arthur Balfour?,Who had a 70s No 1 hit with Kiss You All Over?,2,doubtful_1
Who had a 70s No 1 hit with Kiss You All Over?,Which US No 1 single came from Diana Ross's platinum album Diana?,-1,doubtful_1
Who had a 70s No 1 hit with Kiss You All Over?,Where was horse racing's Breeder's Cup held in 1987?,1,doubtful_1
Who had a 70s No 1 hit with Kiss You All Over?,Who had an 80s No 1 hit with Hold On To The Nights?,-1,doubtful_1
Who had a 70s No 1 hit with Kiss You All Over?,How was the European Recovery Program in the 1940s more commonly known?,2,doubtful_1
Who had a 70s No 1 hit with Kiss You All Over?,Who was the man behind The Chipmunks?,2,doubtful_1
Who had a 70s No 1 hit with Kiss You All Over?,Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,1,doubtful_1
Who had a 70s No 1 hit with Kiss You All Over?,Which artist David was born in Bradford UK?,2,doubtful_1
Who had a 70s No 1 hit with Kiss You All Over?,What claimed the life of singer Kathleen Ferrier?,2,doubtful_1
Who had a 70s No 1 hit with Kiss You All Over?,Robert Kirkpatrick of California grew the world's biggest what?,1,doubtful_1
Who had a 70s No 1 hit with Kiss You All Over?,Which actress was voted Miss Greenwich Village in 1942?,1,doubtful_1
What claimed the life of singer Kathleen Ferrier?,"In Greek mythology, who were Arges, Brontes and Steropes?",2,doubtful_1
What claimed the life of singer Kathleen Ferrier?,What is the name of Terence and Shirley Conran's dress designer son?,2,doubtful_1
What claimed the life of singer Kathleen Ferrier?,Who is the most successful UK solo artist in the USA?,2,doubtful_1
What claimed the life of singer Kathleen Ferrier?,"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",1,doubtful_1
What claimed the life of singer Kathleen Ferrier?,What is Mel Gibson's middle name?,2,doubtful_1
What claimed the life of singer Kathleen Ferrier?,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",-1,doubtful_1
What claimed the life of singer Kathleen Ferrier?,"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",1,doubtful_1
What claimed the life of singer Kathleen Ferrier?,Which journalist first told the world about the My Lai massacre?,1,doubtful_1
What claimed the life of singer Kathleen Ferrier?,Otis Barton was a pioneer in exploring where?,2,doubtful_1
What claimed the life of singer Kathleen Ferrier?,What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,2,doubtful_1
Rita Coolidge sang the title song for which Bond film?,Which US No 1 single came from Diana Ross's platinum album Diana?,1,doubtful_1
Rita Coolidge sang the title song for which Bond film?,Which musician founded the Red Hot Peppers?,1,doubtful_1
Rita Coolidge sang the title song for which Bond film?,"""In which movie did Garbo say, """"I want to be alone"""".""",1,doubtful_1
Rita Coolidge sang the title song for which Bond film?,Who is the most successful UK solo artist in the USA?,2,doubtful_1
Rita Coolidge sang the title song for which Bond film?,Which artist David was born in Bradford UK?,2,doubtful_1
Rita Coolidge sang the title song for which Bond film?,Who was the man behind The Chipmunks?,1,doubtful_1
Rita Coolidge sang the title song for which Bond film?,Who was the next British Prime Minister after Arthur Balfour?,1,doubtful_1
Rita Coolidge sang the title song for which Bond film?,"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",1,doubtful_1
Rita Coolidge sang the title song for which Bond film?,Who was the only Englishman to become Pope?,2,doubtful_1
Rita Coolidge sang the title song for which Bond film?,"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",2,doubtful_1
To the nearest million what is the population of Australia?,Which founder of the company Triad was accused by the USA of receiving bribes?,2,doubtful_1
To the nearest million what is the population of Australia?,"In Greek mythology, who were Arges, Brontes and Steropes?",-1,doubtful_1
To the nearest million what is the population of Australia?,How old was Jimi Hendrix when he died?,1,doubtful_1
To the nearest million what is the population of Australia?,Which 70s show was based on the British show Till Death Us Do Part?,-1,doubtful_1
To the nearest million what is the population of Australia?,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,1,doubtful_1
To the nearest million what is the population of Australia?,Why is the site of a boxing match called a ring when it's square?,2,doubtful_1
To the nearest million what is the population of Australia?,What is the only novel to top the best-seller lists for two consecutive years?,2,doubtful_1
To the nearest million what is the population of Australia?,The flag of Libya is a plain rectangle of which color?,2,doubtful_1
To the nearest million what is the population of Australia?,What comic strip character was named after heavyweight boxing champion James J. Jeffries?,-1,doubtful_1
To the nearest million what is the population of Australia?,Otis Barton was a pioneer in exploring where?,2,doubtful_1
What was the last US state to reintroduce alcohol after prohibition?,"In Greek mythology, what were the names of Oedipus's parents?",1,doubtful_1
What was the last US state to reintroduce alcohol after prohibition?,Which Brit broke the land speed record in 1990 in Thrust 2?,2,doubtful_1
What was the last US state to reintroduce alcohol after prohibition?,Who was the last inmate of Spandau jail in Berlin?,1,doubtful_1
What was the last US state to reintroduce alcohol after prohibition?,Which Lloyd Webber musical premiered in the US on 10th December 1993?,2,doubtful_1
What was the last US state to reintroduce alcohol after prohibition?,In the 80s who wrote the novel Empire of The Sun?,1,doubtful_1
What was the last US state to reintroduce alcohol after prohibition?,What is the name of Terence and Shirley Conran's dress designer son?,1,doubtful_1
What was the last US state to reintroduce alcohol after prohibition?,What is the Japanese share index called?,2,doubtful_1
What was the last US state to reintroduce alcohol after prohibition?,"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",1,doubtful_1
What was the last US state to reintroduce alcohol after prohibition?,What was the profession of Paul Strand (1890 - 1976)?,2,doubtful_1
What was the last US state to reintroduce alcohol after prohibition?,In what state was playwright Tennessee Williams born?,1,doubtful_1
Which actress was voted Miss Greenwich Village in 1942?,Who had a 70s No 1 hit with Let's Do It Again?,2,doubtful_1
Which actress was voted Miss Greenwich Village in 1942?,What claimed the life of singer Kathleen Ferrier?,2,doubtful_1
Which actress was voted Miss Greenwich Village in 1942?,What was President Gerald Ford's middle name?,-1,doubtful_1
Which actress was voted Miss Greenwich Village in 1942?,How was the European Recovery Program in the 1940s more commonly known?,2,doubtful_1
Which actress was voted Miss Greenwich Village in 1942?,What was the last US state to reintroduce alcohol after prohibition?,2,doubtful_1
Which actress was voted Miss Greenwich Village in 1942?,Which Lloyd Webber musical premiered in the US on 10th December 1993?,2,doubtful_1
Which actress was voted Miss Greenwich Village in 1942?,What was Truman Capote's last name before he was adopted by his stepfather?,1,doubtful_1
Which actress was voted Miss Greenwich Village in 1942?,"In Greek mythology, what were the names of Oedipus's parents?",2,doubtful_1
Which actress was voted Miss Greenwich Village in 1942?,Where did the Shinning Path terrorists operate?,1,doubtful_1
Which actress was voted Miss Greenwich Village in 1942?,Rita Coolidge sang the title song for which Bond film?,2,doubtful_1
What is the Japanese share index called?,Which country does the airline TAAG come from?,1,doubtful_1
What is the Japanese share index called?,If I Were A Rich Man Was a big hit from which stage show?,1,doubtful_1
What is the Japanese share index called?,Richard Daley was mayor of which city for 21 years?,2,doubtful_1
What is the Japanese share index called?,Brandon Lee died during the making of which movie?,1,doubtful_1
What is the Japanese share index called?,In what state was playwright Tennessee Williams born?,1,doubtful_1
What is the Japanese share index called?,"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",2,doubtful_1
What is the Japanese share index called?,Which volcano in Tanzania is the highest mountain in Africa?,2,doubtful_1
What is the Japanese share index called?,The flag of Libya is a plain rectangle of which color?,1,doubtful_1
What is the Japanese share index called?,Where in England was actor Nigel Hawthorne born?,1,doubtful_1
What is the Japanese share index called?,In what year's Olympics were electric timing devices and a public-address system used for the first time?,2,doubtful_1
What was the name of Michael Jackson's autobiography written in 1988?,Who had a 70s No 1 hit with Kiss You All Over?,1,doubtful_1
What was the name of Michael Jackson's autobiography written in 1988?,Where in England was actor Nigel Hawthorne born?,1,doubtful_1
