question,ground_truth,llama3 base,llama3 confident_1,llama3 confident_2,llama3 doubtful_1,llama3 doubtful_2,llama3 evidential_1,llama3 evidential_2,judge_base,judge_confident_1,judge_confident_2,judge_doubtful_1,judge_doubtful_2,judge_evidential_1,judge_evidential_2
What was the capital of the United States between 1785 and 1790??,New York City was the capital.,New York City,New York,New York,New York City,New York,New York City,New York City,yes,yes,yes,yes,yes,yes,yes
Who was known as the Fat Boy of the Reserve,"Alfred Hitchcock was nicknamed the ""Fat Boy"".",Raghuram Rajan,Raghuram Rajan,Raghuram Rajan,Raghuram Rajan,Montagu Norman,King George VI,Raghuram Rajan,no,no,no,no,no,no,no
Which fictional girls' boarding school was created by the cartoonist Ronald Searle,St Trinian's.,St. Trinian's,St. Trinian's,St. Trinian's,St. Trinian's,St. Trinian's,St. Trinian's,St. Trinian's,yes,yes,yes,yes,yes,yes,yes
Who played the character Mr Chips in the 2002 TV adaptation of Goodbye Mr Chips,Martin Clunes played Mr. Chips.,Tom Courtenay,Stephen Fry,Stephen Fry,Stephen Fry,Stephen Fry,Stephen Fry,Stephen Tompkinson,no,no,no,no,no,no,no
By what name did Samuel Langhorne Clemens publish his novels under?,Mark Twain.,Mark Twain,Mark Twain,Mark Twain,Mark Twain,Mark Twain,Mark Twain,Mark Twain,yes,yes,yes,yes,yes,yes,yes
Who wrote the novel Rasselas in a single week in 1759 to pay for his mother's funeral?,Samuel Johnson.,Samuel Johnson,Samuel Johnson,Samuel Johnson,Samuel Johnson,Samuel Johnson,Samuel Johnson,Samuel Johnson,yes,yes,yes,yes,yes,yes,yes
Who painted Girl with a Pearl Earring?,Johannes Vermeer.,Johannes Vermeer,Johannes Vermeer,Johannes Vermeer,Johannes Vermeer,Johannes Vermeer,Johannes Vermeer,Johannes Vermeer,yes,yes,yes,yes,yes,yes,yes
Who had hits with Go Now and Nights in White Satin?,The Moody Blues.,Moody Blues,Moody Blues,Moody Blues,Moody Blues,Moody Blues,The Moody Blues,Moody Blues,yes,yes,yes,yes,yes,yes,yes
Which statesman was known as the Iron Chancellor?,Otto von Bismarck.,Otto von Bismarck,Otto von Bismarck,Otto von Bismarck,Otto von Bismarck,Otto von Bismarck,Otto von Bismarck,Otto von Bismarck,yes,yes,yes,yes,yes,yes,yes
How long is the Suex Canal to the nearers 5 kilometers?,The Suez Canal is 193 kilometers long.,67 kilometers,64 kilometers,63 kilometers,63 kilometers,196 km,63 kilometers,63 kilometers,no,no,no,no,no,no,no
Who was sacked as the Beatles' drummer and replaced by Ringo Starr?,Pete Best was sacked and replaced by Ringo.,Pete Best,Pete Best,Pete Best,Pete Best,Pete Best,Pete Best,Pete Best,no,no,no,no,no,no,no
"Tsar Nicholas I abidacated in 1917, who was the other monarch to abdicate during this period?",King Constantine I of Greece also abdicated.,Kaiser Wilhelm II,Kaiser Wilhelm II,Kaiser Wilhelm II,Kaiser Wilhelm II,Kaiser Wilhelm II,Kaiser Wilhelm II,Kaiser Wilhelm II of Germany,no,no,no,no,no,no,no
Whose last words were Et Tu Brute according to Shakespeare?,Julius Caesar.,Julius Caesar,Julius Caesar,Julius Caesar,Julius Caesar,Julius Caesar,Julius Caesar,Julius Caesar,yes,yes,yes,yes,yes,yes,yes
What is the most southerly tip of Britain called?,Lizard Point in Cornwall.,Lizard Point,Dunnet Head,Lizard Point,Dunnet Head,Dunnet Head,Dunnet Head,Lizard Point,yes,no,yes,no,no,no,yes
"The original United Artists film studio was founded in 1919 by D.W. Griffith, Mary Pickford, Douglas Fairbanks and who else?",Charlie Chaplin.,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,yes,yes,yes,yes,yes,yes,yes
Which Holiday movie favourite featured a character called Kevin McCallister?,Home Alone.,Home Alone,Home Alone,Home Alone,Home Alone,Home Alone,Home Alone,Home Alone,yes,yes,yes,yes,yes,yes,yes
Name the four Pevensie children in the Chronicles of Narnia books.,"Peter, Susan, Edmund, Lucy.","Peter, Susan, Edmund, Lucy","Peter, Susan, Edmund, Lucy","Peter, Susan, Edmund, Lucy","Peter, Susan, Edmund, Lucy","Peter, Susan, Edmund, Lucy","Peter, Susan, Edmund, and Lucy","Peter, Susan, Edmund, Lucy",yes,yes,yes,yes,yes,yes,yes
Which British artist achieved notoriety in 1976 after confessing to faking old masters?,Tom Keating.,Han van Meegeren,Han van Meegeren,Han van Meegeren,Han van Meegeren,Han van Meegeren,Han van Meegeren,Han van Meegeren,no,no,no,no,no,no,no
Who was the author of Pygmalion'?,George Bernard Shaw.,George Bernard Shaw,George Bernard Shaw,George Bernard Shaw,George Bernard Shaw,George Bernard Shaw,George Bernard Shaw,George Bernard Shaw,yes,yes,yes,yes,yes,yes,yes
"Who was the third President of the USA, following on from George Washington and John Adams was also famed for his numerous inventions?",Thomas Jefferson.,Thomas Jefferson,Thomas Jefferson,Thomas Jefferson,Thomas Jefferson,Thomas Jefferson,Thomas Jefferson,Thomas Jefferson,yes,yes,yes,yes,yes,yes,yes
England won the 1966 World Cup beating Germany 4-2. Hurst scored 3 of England's goals who scored the other?,Martin Peters scored England's other goal.,Geoffrey Cohen,Geoffrey Cooke,Geoffrey Cohen,Geoffrey Charlton,Geoffrey Charlton,Geoffrey Charlton and Martin Peters.,Geoffrey Charlton and Martin Peters,no,no,no,no,no,yes,yes
The Red Sea is connected to the Indian Ocean by which gulf ?,The Gulf of Aden.,Gulf of Suez,Gulf of Suez,Gulf of Suez,Gulf of Suez,Gulf of Suez,Gulf of Suez,Gulf of Suez,no,no,no,no,no,no,no
The Red Setter is more properly known by which name?,Irish Setter.,Irish Setter,Irish Setter,Irish Setter,Irish Setter,Irish Setter,Irish Setter,Irish Setter,yes,yes,yes,yes,yes,yes,yes
What was the name of the World War I fighter ace nicknamed the Red Baron?,Manfred von Richthofen.,Manfred von Richthofen,Manfred von Richthofen,Manfred von Richthofen,Manfred von Richthofen,Manfred von Richthofen,Manfred von Richthofen,Manfred von Richthofen,yes,yes,yes,yes,yes,yes,yes
Which singer played the Goblin King Jareth in the film Labyrinth'?,David Bowie.,David Bowie,David Bowie,David Bowie,David Bowie,David Bowie,David Bowie,David Bowie,yes,yes,yes,yes,yes,yes,yes
Who played Aunty Entity' in the film 'Mad Max Beyond the Thunderdome'?,Tina Turner.,Tina Turner,Tina Turner,Tina Turner,Tina Turner,Tina Turner,Tina Turner,Tina Turner,yes,yes,yes,yes,yes,yes,yes
"Name the fantasy movie directed by Terry Gilliam, where 6 dwarves have stolen a map.",Time Bandits.,Time Bandits,Time Bandits,Time Bandits,Time Bandits,Time Bandits,Time Bandits,Time Bandits,yes,yes,yes,yes,yes,yes,yes
"Which TV comedy had characters McLaren, Blanco & Warren",Porridge,The Jeffersons,The Jeffersons,The Jeffersons,The Jeffersons,The Jeffersons,The Jeffersons,The Young Ones,no,no,no,no,no,no,no
In which TV series would you find an Eagle Transporter,Space: 1999.,Battlestar Galactica,Battlestar Galactica,Battlestar Galactica,Battlestar Galactica,Battlestar Galactica,Battlestar Galactica,Blake's 7,no,no,no,yes,no,no,no
Which jazz saxophonist was nicknamed Bird,Charlie Parker.,Charlie Parker,Charlie Parker,Charlie Parker,Charlie Parker,Charlie Parker,Charlie Parker,Charlie Parker,yes,yes,yes,yes,yes,yes,yes
Which patriotic Irving Berlin song includes the line  From the mountains to the prairie to the oceans white with foam ?,God Bless America.,God Bless America,God Bless America,God Bless America,God Bless America,God Bless America,God Bless America,God Bless America,yes,yes,yes,yes,yes,yes,yes
Who created the Miss World pageant?,Eric Morley in 1951.,Eric Morley,Eric Morley,Eric Morley,Eric Morley,Eric Morley,Eric Morley,Eric Morley,yes,yes,yes,yes,yes,yes,yes
Who is credited with the discovery of the tomb of King Tutankhamen in 1922?,Howard Carter.,Howard Carter,Howard Carter,Howard Carter,Howard Carter,Howard Carter,Howard Carter,Howard Carter,yes,yes,yes,yes,yes,yes,yes
The King of Wishful Thinking was a hit song used during the opening credits of the movie Pretty Woman. Who sang it?,Go West sang the song.,Peter Cetera,Peter Cetera,Peter Cetera,Peter Cetera,Peter Cetera,New Kids on the Block,Peter Cetera,no,no,no,no,no,no,no
What was the name of Shari Lewis' sassy sock puppet?,Lamb Chop.,Lamb Chop,Lamb Chop,Lamb Chop,Lamb Chop,Lamb Chop,Lamb Chop,Lamb Chop,yes,yes,yes,yes,yes,yes,yes
What are the names of the two pubs in Hogsmeade where you can get a pint of butterbeer?,Hog's Head and Three Broomsticks.,The Three Broomsticks and Hog's Head Pub.,The Three Broomsticks and Hog's Head Pub.,The Three Broomsticks and Hog's Head Pub.,The Three Broomsticks and Hog's Head Pub.,The Three Broomsticks and Hog's Head Pub.,The Three Broomsticks and Hog's Head Pub.,The Three Broomsticks and Hog's Head Pub.,yes,yes,yes,yes,yes,yes,yes
Who was the second wife of Henry VIII?,Anne Boleyn.,Anne Boleyn,Anne Boleyn,Anne Boleyn,Anne Boleyn,Anne Boleyn,Anne Boleyn,Anne Boleyn,yes,yes,yes,yes,yes,yes,yes
Which actor does the interviewing in 'Interview with a Vampire'?,"Tom Cruise, as the vampire.",Neil Jordan,Antonio Banderas,Antonio Banderas,Antonio Banderas,Antonio Banderas,Louis de Pointe du Lac,Antonio Banderas,no,no,no,no,no,no,no
What is the southernmost city in USA,"Key West, Florida.",Key West,Key West,Key West,Key West,Key West,Key West,Key West,yes,yes,yes,yes,yes,yes,yes
"Which Shakespeare play tells the story of Prospero, the rightful Duke of Milan?",The Tempest.,The Tempest,The Tempest,The Tempest,The Tempest,The Tempest,The Tempest,The Tempest,yes,yes,yes,yes,yes,yes,yes
What was the name of the sixth studio album released by Prince and the Revolution in June of 1984?,Purple Rain.,Purple Rain,Purple Rain,Purple Rain,Purple Rain,Purple Rain,Purple Rain,Purple Rain,yes,yes,yes,yes,yes,yes,yes
In which film series would you expect to film Katniss Everdeen and Peeta Malark?,The Hunger Games.,The Hunger Games,The Hunger Games,The Hunger Games,The Hunger Games,The Hunger Games,The Hunger Games,The Hunger Games,yes,yes,yes,yes,yes,yes,yes
"""Rodney you plonka"" and ""This time next year we'll be millionaires"" are catchphrases from which well-known television sitcom?",Only Fools and Horses.,Only Fools and Horses,Only Fools and Horses,Only Fools and Horses,Only Fools and Horses,Only Fools and Horses,Only Fools and Horses,I'm a Friend of Yours,yes,yes,yes,yes,yes,yes,no
What did my true love bring to me on the Sixth Day of Christmas?,Six geese a-laying.,Six geese a-laying.,Six Golden Rings,Six Geese A-Laying,Six Pipers Pecking,Six Pipers Pecking,Six Geese a-Laying,Six Pipers Pecking,yes,no,yes,no,no,yes,no
Louis Smith won an individual silver medal in gymnastics at the 2012 London Olympics. For what discipline?,Pommel horse.,Pommel horse,Pommel horse,Pommel horse,Pommel horse,Pommel horse,Pommel horse,Pommel horse,yes,yes,yes,yes,yes,yes,yes
What were the first names of all 3 Liverbirds?,"Bella, Lucia, and one unnamed Liverbird.","Bill, Bob, and Billy","Bill, Bob, and Billy","Bill, Bob, and Eric","Kenny, Ian, and Ronnie","Bill, Bob, and Fred","Mimi, Lucy, and Dixie","Bill, Bob, and Billy",no,no,no,no,no,yes,no
Which former prime minister appeared on the Morecambe and Wise Christmas Special in 1978?,Harold Wilson appeared.,Harold Wilson,Harold Wilson,Harold Wilson,Harold Wilson,Harold Wilson,Harold Wilson,Harold Wilson,yes,yes,yes,yes,yes,yes,yes
What song was a hit for Tom Jones and Cerys Matthews in 1999?,Baby It's Cold Outside.,Mama Told Me Not To Come,Burning Down the House,Burning Down the House,Mama Told Me Not to Come,Mama Told Me Not To Come,Mama Told Me Not to Come,Burning Down the House,no,no,no,no,no,no,no
What is the American version of Strictly Come Dancing called?,Dancing with the Stars.,Dancing with the Stars,Dancing with the Stars,Dancing with the Stars,Dancing with the Stars,Dancing with the Stars,Dancing with the Stars,Dancing with the Stars,yes,yes,yes,yes,yes,yes,yes
What artist designed the logo for Chupa Chups lollipops?,Salvador Dali designed the Chupa Chups logo.,Lino Vail,Felix Sarda,Felix Sarda,Felix Sardinero,Felix Sánchez,Lino Vail,Lionel Sebastián,no,no,no,no,no,no,no
"What is being built in the Olympic Park, that will be the world's longest and tallest of its kind?",The world's longest and tallest slide.,The Sydney Olympic Stadium.,Arch,Lookout Tower,Archived Tower,Archived Tower,Arch bridge,Arch bridge,no,no,no,no,no,no,no
In the 'Jungle Book' what type of creature was 'Bagheera'?,Black panther.,Black Panther,Black Panther,Black Panther,Black Panther,Black Panther,Black Panther,Black Panther,yes,yes,yes,yes,yes,yes,yes
What was the name of the Liverpool nightclub where the Beatles regularly played?,The Cavern Club.,Cavern Club,Cavern Club,Cavern Club,Cavern Club,Cavern Club,Cavern Club,Cavern Club,yes,yes,yes,yes,yes,yes,yes
Which British artists works include The First Real Target?,Damien Hirst.,Lucian Freud,Lucian Freud,Lucian Freud,Lucian Freud,Damien Hirst,Lucian Freud,Lucian Freud,no,no,no,no,yes,no,no
Which King of England sold Dunkirk to Louis XIV of France?,Charles II sold Dunkirk in 1662.,Charles II,Charles II,Charles II,Charles II,Charles II,William III,Charles II,yes,yes,yes,yes,yes,no,yes
Which French author wrote the fairy tales Little Red Riding Hood Sleeping Beauty and Puss in Boots?,Charles Perrault.,Charles Perrault,Charles Perrault,Charles Perrault,Charles Perrault,Charles Perrault,Charles Perrault,Charles Perrault,yes,yes,yes,yes,yes,yes,yes
Peter OSullevan was a BBC commentator for which sport?,Horse racing.,Horse racing,Horse Racing,Horse Racing,Horse racing,Horse Racing,Horse racing,Horse racing,yes,yes,yes,yes,yes,yes,yes
Who was the first Hanover King of England?,George I.,George I,George I,George I,George I,George I,George I,George I,yes,yes,yes,yes,yes,yes,yes
Which group released an album in 1986 entitled The Queen is Dead?,The Smiths.,The Smiths,The Smiths,The Smiths,The Smiths,The Smiths,The Smiths,The Smiths,yes,yes,yes,yes,yes,yes,yes
Which British Prime Minister said of Downing Street One of the most precious jewels in the national heritage?,Harold Wilson said that about Downing Street.,Winston Churchill,Harold Wilson,Harold Wilson,Winston Churchill,Harold Macmillan,Winston Churchill,Harold Wilson,no,no,yes,no,no,no,yes
Which British singer played Jareth the Goblin King in the 1986 film Labyrinth?,David Bowie.,David Bowie,David Bowie,David Bowie,David Bowie,David Bowie,David Bowie,David Bowie,yes,yes,yes,yes,yes,yes,yes
Golfer Ernie Els was born in which country?,South Africa.,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,yes,yes,yes,yes,yes,yes,yes
The 1987 film Cry Freedom is a biographical drama about which South African civil rights leader?,Steve Biko.,Steve Biko,Steve Biko,Steve Biko,Steve Biko,Steve Biko,Steve Biko,Steve Biko,yes,yes,yes,yes,yes,yes,yes
"What was the name of the Brazilian player who won the Womens Singles Finals at Wimbledon in 1959, 1960 and 1964?",Maria Bueno.,Maria Bueno,Maria Bueno,Maria Bueno,Maria Bueno,Maria Bueno,Maria Bueno,Maria Bueno,yes,yes,yes,yes,yes,yes,yes
What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,Mallard.,Malcolm Moor,Malcolm Moor,Malcolm Moorcroft,Malcolm Moor.,Malcolm Moor.,Malcolm Moor,Malcolm Moor,no,no,no,no,no,no,no
Singer and musician Bono called which venue Rock and rolls great cathedral?,Madison Square Garden.,Wembley Stadium,Red Rocks,Wembley Stadium,Red Rocks,Red Rocks,Red Rocks Amphitheatre,Red Rocks Amphitheatre,no,no,no,no,no,no,no
What was the name of the Cunard ocean liner which was launched on 20th September 1906?,The RMS Lusitania.,RMS Lusitania,RMS Lusitania,RMS Lusitania,RMS Lusitania,RMS Lusitania,RMS Aquitania,RMS Lusitania,yes,yes,yes,yes,yes,no,yes
In which James Bond film does actress Jane Seymour play Solitaire?,Live and Let Die (1973) film.,Live and Let Die (1979),Live and Let Die,Live and Let Die,Live and Let Die,Live and Let Die,Live and Let Die (1974),Live and Let Die (1973),no,yes,yes,yes,yes,no,yes
The Weeping Woman is the work of which artist?,Pablo Picasso.,Pablo Picasso,Pablo Picasso,Pablo Picasso,Pablo Picasso,Pablo Picasso,Pablo Picasso,Pablo Picasso,yes,yes,yes,yes,yes,yes,yes
Which English singer/songwriter/musician wrote the Tremeloes hit Here Comes My Baby at the age of eighteen?,Cat Stevens.,Cat Stevens,Cat Stevens,Cat Stevens,Cat Stevens,Nicky Hopkins,Cat Stevens,Cat Stevens,yes,yes,yes,yes,no,yes,yes
Mearth was the name of the child of which US tv characters?,"Mearth, child of Mork and Mindy.","Al and Peggy Bundy from ""Married... with Children""","Al Borland and Tim Taylor from ""Home Improvement"".",Al Bundy and Peggy.,Al and Tipper Gore,Al Bundy and Peggy Bundy from Married... with Children.,Al Bundy and Peggy.,Al Bundy and Peggy Bundy (Married... with Children),no,no,no,no,no,no,no
Which British politician became Member of Parliament for Epping in October 1924?,Winston Churchill.,Winston Churchill,Winston Churchill,Winston Churchill,Winston Churchill,Winston Churchill,Winston Churchill,Stanley Baldwin,yes,yes,yes,yes,yes,yes,no
The Crafty Cockney was the nickname of which British darts player?,Eric Bristow.,Eric Bristow,Eric Bristow,Eric Bristow,Eric Bristow,Eric Bristow,Eric Bristow,Eric Bristow,yes,yes,yes,yes,yes,yes,yes
Which famous jewellers makes the Super Bowl Trophy?,Tiffany & Co.,Villager,Tiffany & Co.,Tiffany & Co.,Tiffany & Co.,Tiffany & Co.,Tiffany & Co.,Tiffany & Co.,no,yes,yes,yes,yes,yes,yes
Sadlers Wells Ballet and the Vic-Wells Ballet were the previous names of which British ballet company?,The Royal Ballet.,The Royal Ballet,English National Ballet,English National Ballet,The Royal Ballet,The Royal Ballet,The Royal Ballet,English National Ballet,yes,no,no,yes,yes,yes,no
The roller coaster ride called Rita is located at which English theme park?,Alton Towers.,Alton Towers,Alton Towers,Alton Towers,Alton Towers,Alton Towers,Alton Towers,Alton Towers,yes,yes,yes,yes,yes,yes,yes
"In January 1957, Russell Endean became the first batsman to be dismissed from a test cricket match for doing what?",Handled the ball intentionally.,Handling the ball,Handling the ball,Handling the ball,Handling the ball.,Handling the ball.,Handling the ball,Handling the ball,yes,yes,yes,yes,yes,yes,yes
Who does Emilio Estevez play in the 1988 film Young Guns?,Billy the Kid.,Billy the Kid,Billy The Kid,Billy The Kid,Billy The Kid,Billy The Kid,Billy the Kid,Billy The Kid,yes,yes,yes,yes,yes,yes,yes
In medicine the MMR vaccination gives protection against which diseases?,"Measles, Mumps, Rubella.","Measles, Mumps, Rubella","Measles, Mumps, Rubella","Measles, Mumps, Rubella","Measles, Mumps, Rubella","Measles, Mumps, Rubella","Measles, Mumps, Rubella","Measles, Mumps, Rubella",yes,yes,yes,yes,yes,yes,yes
Which heavyweight boxing champion knocked out Max Schmeling in the first round of their re-match at Yankee Stadium in New York City in June 1938?,Joe Louis.,Joe Louis,Joe Louis,Joe Louis,Joe Louis,Joe Louis,Joe Louis,Joe Louis,yes,yes,yes,yes,yes,yes,yes
Which English singer has a pet Chihuahua called Buster?,Leona Lewis has a pet Chihuahua named Buster.,Petula Clark,Leona Lewis,Leona Lewis,Petula Clark,Leona Lewis,Leona Lewis,Leona Lewis,no,no,no,no,no,no,no
Which US singing duo started out under the names Caesar and Cleo?,Sonny and Cher.,Hall & Oates,Hall & Oates,Hall & Oates,Hall & Oates,Hall & Oates,Hall & Oates,Hall & Oates,no,no,no,no,no,no,no
"Who played the role of Caligula in the 1976 UK tv series I, Claudius?",John Hurt.,Patrick Stewart,Patrick Stewart,Patrick Stewart,John Hurt,John Hurt,John Hurt,Patrick Stewart,no,no,no,yes,yes,yes,no
Who wrote the 1963 novel The Spy Who Came in From the Cold?,John le Carré.,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,yes,yes,yes,yes,yes,yes,yes
What is the name of Humphrey Bogarts character in the film Casablanca?,Rick Blaine.,Rick Blaine,Rick Blaine,Rick Blaine,Rick Blaine,Rick Blaine,Rick Blaine,Rick Blaine,yes,yes,yes,yes,yes,yes,yes
What is the US state capital of Louisiana?,Baton Rouge.,Baton Rouge,Baton Rouge,Baton Rouge,Baton Rouge,Baton Rouge,Baton Rouge,Baton Rouge,yes,yes,yes,yes,yes,yes,yes
What is the title of the 1996 Oscar-winning documentary about the Muhammad Ali and George Foreman 1974 Rumble in the Jungle fight in Zaire?,When We Were Kings.,When We Were Kings,When We Were Kings,When We Were Kings,When We Were Kings,When We Were Kings,When We Were Kings,When We Were Kings,yes,yes,yes,yes,yes,yes,yes
What was is the name of Penelope Pitstops car in the childrens tv cartoon series Wacky Races?,The Compact Pussycat.,Silly Genius,Silly Genius,Sweet 67 SweeTee,Silly Genius,Silly Genius,Sweet 16,Silly Genius,no,no,no,no,no,no,no
Brenda is the nickname of which famous person in the satirical magazine Private Eye?,"Prince Philip, Duke of Edinburgh.",Ann Robinson,Ann Robinson,Ann Robinson,Ann Robinson,Ann Robinson,Paul Foot,Peter Cook,no,no,no,no,no,no,no
Which tennis player was known as the Rockhampton Rocket?,Rod Laver.,Pat Cash,Pat Cash,Pat Cash,Pat Cash,Pat Cash,Pat Cash,Pat Cash,no,no,no,no,no,no,no
Which famous racehorse won Australias Melbourne Cup in 1930?,Phar Lap won it in 1930.,Peter Pan,Waterford,Peter Pan,Peter Pan,Peter Pan,Peter Pan,Peter Pan,no,no,no,no,no,no,no
Cobweb is a fairy in which Shakespeare play?,Midsummer Night's Dream.,A Midsummer Night's Dream,A Midsummer Night's Dream,A Midsummer Night's Dream,A Midsummer Night's Dream,A Midsummer Night's Dream,A Midsummer Night's Dream,A Midsummer Night's Dream,yes,yes,yes,yes,yes,yes,yes
"In 1216, English monarch King John was said to have lost the crown jewels while crossing which body of water?","The Wash, a tidal estuary.",White Sea,The Thames,The Wash,The Wash,The Wash,The Wash,The Wash,no,no,yes,yes,yes,yes,yes
Which British playwright was killed with a hammer by his lover Keith Haliwell in 1967?,Joe Orton.,Joe Orton,Joe Orton,Joe Orton,Joe Orton,Joe Orton,Joe Orton,Joe Orton,yes,yes,yes,yes,yes,yes,yes
What is the nickname of baseball star Jimmie Foxx?,"""Double X""",Double X,Double X,Double X,"""Double X""","""Double X""","""Double X""","""Double X""",yes,yes,yes,yes,yes,yes,yes
Who was the first poet to be buried at Poets Corner in Londons Westminster Abbey?,Geoffrey Chaucer in 1400.,Ben Jonson,Geoffrey Chaucer,Geoffrey Chaucer,Geoffrey Chaucer,Geoffrey Chaucer,Geoffrey Chaucer,Geoffrey Chaucer,no,yes,yes,yes,yes,yes,yes
Hans Holbein the Younger was court painter to which English monarch?,Henry VIII.,Henry VIII,Henry VIII,Henry VIII,Henry VIII,Henry VIII,Henry VIII,Henry VIII,yes,yes,yes,yes,yes,yes,yes
Who was the illustrator for most of Roald Dahls stories for children?,Quentin Blake.,Quentin Blake,Quentin Blake,Quentin Blake,Quentin Blake,Quentin Blake,Quentin Blake,Quentin Blake,yes,yes,yes,yes,yes,yes,yes
Back to Bedlam was the debut album for which British singer?,James Blunt.,James Blunt,James Blunt,James Blunt,James Blunt,James Blunt,Keane,James Blunt,yes,yes,yes,yes,yes,no,yes
Which US gangster was released from Alcatraz prison in November 1939?,Al Capone was released in November 1939.,Machine Gun Kelly,Machine Gun Kelly,Machine Gun Kelly,Al Capone,Al Capone,Machine Gun Kelly,Machine Gun Kelly,no,no,no,no,no,no,no
The fictional characters William Dobbin and Rawdon Crawley appear in which novel?,Vanity Fair by William Makepeace Thackeray.,Vanity Fair,Vanity Fair,Vanity Fair,Vanity Fair,Vanity Fair,Vanity Fair,Vanity Fair,yes,yes,yes,yes,yes,yes,yes
Who does the commentary in the UK tv programme Come Dine With Me?,Dave Lamb,Dave Lamb,Dave Lamb,Dave Lamb,Dave Lamb,Dave Lamb,Dave Lamb,Dave Lamb,yes,yes,yes,yes,yes,yes,yes
Which two colours make up the national flag of Greenland?,Red and white.,White and Red,White and Red,White and Red,White and Red,White and Red,White and Red,White and Red,yes,yes,yes,yes,yes,yes,yes
Who plays Daphne in the 2002 film Scooby-Doo?,Sarah Michelle Gellar.,Sarah Michelle Gellar,Sarah Michelle Gellar,Sarah Michelle Gellar,Sarah Michelle Gellar,Sarah Michelle Gellar,Sarah Michelle Gellar,Sarah Michelle Gellar,yes,yes,yes,yes,yes,yes,yes
Which former RAF pilot wrote the novel Airport?,Arthur Hailey.,Arthur Hailey,Arthur Hailey,Arthur Hailey,Arthur Hailey,Arthur Hailey,Arthur Hailey,Arthur Hailey,yes,yes,yes,yes,yes,yes,yes
A creance is the name of the long fine cord used in which sport?,Falconry.,Fly fishing,Fly fishing,Fly fishing,Fly fishing,Fly fishing,Fly fishing,Fly fishing,no,no,no,no,no,no,no
"In the UK tv series Mr Bean, what model car does Mr Bean drive?",Reliant Regal three-wheeled van.,Austin Mini,Austin Mini,Austin Mini,Austin Mini,Austin Mini,Austin Mini,Austin Mini,no,no,no,no,no,no,no
Rodolfo and Mimi are the main characters in which opera by Giacomo Puccini?,La Bohème.,La Bohème,La Bohème,La Bohème,La Bohème,La Bohème,La Bohème,La Bohème,yes,yes,yes,yes,yes,yes,yes
"In Indian cookery, what is a dosa?",Thin fermented rice and lentil pancake.,Thin crepe made from fermented rice and lentil batter.,Thin crepe-like bread.,Thin crepe-like bread.,Thin crepe-like bread.,Thin crepe-like bread.,Thin fermented crepe.,Thin fermented crepe.,yes,no,no,yes,yes,yes,yes
"In the childrens tv cartoon series, who is Inspector Gadgets arch enemy?",Dr. Claw.,Dr. Claw,Dr. Claw,Dr. Claw,Dr. Claw,Dr. Claw,Dr. Claw,Dr. Claw,yes,yes,yes,yes,yes,yes,yes
"What is the forward part of a ship called below the deck, traditionally used as the crews living quarters?",The forecastle.,Hold,Poop Deck,Poop deck,Poop deck,Poop deck,Poop deck,Poop Deck,no,yes,yes,yes,yes,yes,yes
Steve Martin and which other actor hosted the 2010 Academy Awards?,Alec Baldwin.,Hugh Jackman,Paul Rudd,Paul Rudd,Paul Rudd,Paul Rudd,Hugh Jackman,Hugh Jackman,no,no,no,no,no,no,no
"Which British monarch founded the Yeomen of the Guard, originally as a royal bodyguard?",King Henry VII.,Henry VII,Charles II,Charles II,Charles II,Charles II,Henry VII,Henry VII,yes,no,no,no,no,yes,yes
Which member of the British royal family married on the 29th April 2011?,Prince William and Kate Middleton.,Prince William,Prince William,Prince William,Prince William,Catherine Middleton,Prince William,Prince William,yes,yes,yes,yes,yes,yes,yes
Which Italian fashion designer launched the first virtual online museum in December 2011?,Valentino Garavani.,Gucci's Creative Director Frida Giannini,Gucci's Creative Director Frida Giannini.,Gucci's Creative Director Frida Giannini,Giorgio Armani,Gucci's Frida Giannini,Gucci's Creative Director Frida Giannini.,Giorgio Armani,no,no,no,no,no,no,no
Which breed of dog is Marley in the 2008 film Marley and Me?,Yellow Labrador Retriever.,Labrador Retriever,Labrador Retriever,Labrador Retriever,Labrador Retriever,Labrador Retriever,Labrador Retriever,Labrador Retriever,yes,yes,yes,yes,yes,yes,yes
Which poet wrote The Lake Isle of Innisfree?,W.B. Yeats.,W.B. Yeats,W.B. Yeats,W.B. Yeats,W.B. Yeats,W.B. Yeats,W.B. Yeats,W.B. Yeats,yes,yes,yes,yes,yes,yes,yes
Who wrote the 1930s novel Tender is the Night?,F. Scott Fitzgerald.,F. Scott Fitzgerald,F. Scott Fitzgerald,F. Scott Fitzgerald,F. Scott Fitzgerald,F. Scott Fitzgerald,F. Scott Fitzgerald,F. Scott Fitzgerald,yes,yes,yes,yes,yes,yes,yes
Which annual motor event did former Armani model Maximillion Cooper found in 1999?,Gumball 3000.,Gumball 3000,Gumball 3000,Gumball 3000,Gumball 3000,Gumball 3000,Gumball 3000,Gumball 3000,yes,yes,yes,yes,yes,yes,yes
