question,ground_truth,qwen2.5 base,qwen2.5 confident_1,qwen2.5 confident_2,qwen2.5 doubtful_1,qwen2.5 doubtful_2,qwen2.5 evidential_1,qwen2.5 evidential_2,judge_base,judge_confident_1,judge_confident_2,judge_doubtful_1,judge_doubtful_2,judge_evidential_1,judge_evidential_2
What item of headwear is associated with Sherlock Holmes?,Deerstalker hat.,Sherlock Holmes wore a deerstalker cap.,Bowler hat,Bowler hat,Bowler hat,Bowler hat,Baker Street hat,Bowler hat,yes,no,no,no,no,no,no
Which shipping passage was closed from 1967 to 1975?,Suez Canal.,Suez Canal,Suez Canal,Suez Canal,Suez Canal,Suez Canal,Suez Canal,Suez Canal,yes,yes,yes,yes,yes,yes,yes
"""Broadly, what is the setting for Samuel Beckett's play """"Happy Days""""?""",Post-apocalyptic wasteland or barren landscape.,A cave.,An empty chair.,An empty chair.,Deserted island,An empty chair.,Desolate island.,An empty chair on an empty stage.,no,no,no,no,no,no,no
"""Sheep are aged by their teeth and are referred to by the number of permanent incisors that have erupted. About how old is an """"eight-tooth"""" or full-mouth sheep, which is also referred to as 'aged'?""",Usually around 4-5 years old.,5 years old,4 years old,5 years old,5-6 years old,5-6 years old,5-6 years old,5-6 years old,yes,yes,yes,yes,yes,yes,yes
"Who was the first female prime minister of the Republic of India, who served for three consecutive terms from 1966 to 1977 and then from 1980 until her assassination in 1984?",Indira Gandhi.,Indira Gandhi,Indira Gandhi,Indira Gandhi,Indira Gandhi,Indira Gandhi,Indira Gandhi,Indira Gandhi,yes,yes,yes,yes,yes,yes,yes
"""What profession had been followed by Yorick, a character in Shakespeare's """"Hamlet""""?""",Yorick was a jester.,Jester,Jester,Jester,Jester,Jester.,Jester.,Jester,yes,yes,yes,yes,yes,yes,yes
What is the longest time that there can be between General Elections in the UK?,Five years.,5 years,1 year,5 years,18 months,5 years,5 years,5 years,yes,no,yes,no,yes,yes,yes
"""The narrative poem """"The Gypsies"""" (1824) by Alexander Pushkin influenced a novella by Prosper Mrime (1845), which was the basis for a libretto by Henri Meilhac and Ludovic Halvy for which opera that premiered at the Opra-Comique of Paris in 1875?""",Carmen.,Gypsies,Gypsies (or Le Géorgien),Gypsies,Gypsies,Gypsies of Marlia,Manon Lescaut,Gypsies,no,no,no,no,no,no,no
"""In Victorian England, what was a """"reticule""""?""",Small handbag or purse for women.,Small handbag.,handbag,purse,handbag,Small purse or bag.,purse or small bag,Small purse or bag for carrying jewels or small items.,yes,yes,yes,yes,yes,yes,yes
Celadon is a shade of what colour?,Green.,green,green,green,green,Green,green,green,yes,yes,yes,yes,yes,yes,yes
The Battle of Balaclava was in which war?,Crimean War.,Crimean War,Crimean War,Crimean War,Crimean War,Crimean War,Crimean War,Crimean War,yes,yes,yes,yes,yes,yes,yes
"What is the name of the art form where objects are glued to, usually, a piece of paper or canvas?",Collage.,Collage,Collage,Collage,Collage,Collage,Collage,Collage,yes,yes,yes,yes,yes,yes,yes
"""From which language do we get the word """"dungarees""""?""","Hindi language, from word ""dungri"".",English,Indian,Indian,Indian,Indian,English,English,no,yes,yes,yes,yes,no,no
What was the nickname of tennis player Mark Philippoussis?,The Scud.,Crocodile,Crocodile,Crocodile,Crocodile,Crocodile,Crocodile,Crocodile,no,no,no,no,no,no,no
What is identified by an I. S. B. N.?,Book identification number.,Book,Book,Book,Book,Book,Book,Book,yes,yes,yes,yes,yes,yes,yes
"""Which album by Lily Allen contained the tracks """"The Fear"""", """"Not Fair"""" and """"22""""?""","It's Not Me, It's You.",It'ssolete,"It's ""Title Unknown""","It's ""Title of the Moment"".","It's ""Title Unknown""","It's ""Title Unknown""","It is ""Title Unknown"" or possibly a compilation.","It's ""Title Unknown"" or ""LP1""",no,no,no,no,no,no,no
"""How many adjectives are there in the sentence """"Jack ran down the path.""""?""","None, they are nouns, verbs, and prepositions.",0,0,0,0,0,0,0,no,no,no,no,no,no,no
"In the books by the Rev. W. V. Awdry and the UK TV series first broadcast in 1984 with Ringo Starr as storyteller, how many wheels does Thomas the Tank Engine have?",Thomas has six wheels.,4,4,4,4,4,4,4,no,no,no,no,no,no,no
What word means to sell scarce shares or tickets at a quick profit?,Touting.,Cherry-picking,Pump and dump,Pyramid scheme,Pyramid scheme,Flirtation,Flakka,Pyramid scheme,no,yes,yes,yes,no,no,yes
What is the literal translation of the name Las Vegas?,The Meadows in Spanish.,The Meadows,Meadows of Flowers,The Lady of the Meadows,Meets the Meadows,The Flows,The Flows,The Flows,yes,no,no,yes,no,no,no
"""An """"ISBN"""" is an identification number found on what item?""",Book.,Book,book,book,Book,Book,Book,Book,yes,yes,yes,yes,yes,yes,yes
Players form scrums in which sport?,Rugby.,Rugby,Rugby,Rugby,Rugby,Rugby,Rugby,Rugby,yes,yes,yes,yes,yes,yes,yes
"""What word refers to the period before """"The Great Flood"""" as described in the Old Testament of the Bible?""",Antediluvian.,Antediluvian,Antediluvian,Antediluvian,Antediluvian,Antediluvian,Antediluvian,Antediluvian,yes,yes,yes,yes,yes,yes,yes
What relation were Ravi Shankar and Norah Jones to each other?,Ravi Shankar was Norah Jones' father.,Teacher and student.,father-daughter,Mother and son.,Uncle-Niece关系,Ravi Shankar was Norah Jones' father.,not related.,Ravi Shankar was Norah Jones' father.,no,yes,no,no,yes,no,yes
John Sholto Douglas sponsored the rules for which sport in the 19th century?,Boxing: Marquess of Queensberry Rules.,Rugby,Rugby,Rugby,Rugby,Rugby,Rugby,Rugby,no,no,no,no,no,no,no
"The islands of Malta, Sardinia, Sicily and Corsica are in which Sea?",Mediterranean Sea.,Mediterranean Sea,Mediterranean Sea,Mediterranean Sea,Mediterranean Sea,Mediterranean Sea,Mediterranean Sea,Mediterranean Sea,yes,yes,yes,yes,yes,yes,yes
"What were Scotsmen prohibited from wearing 1746-1782 under the Highland Garb Act, after the rising in Scotland in 1745?",Tartan and the kilt.,Kilt,kilts,kilts,kilts,Kilt,Kilt,Kilt,yes,yes,yes,yes,yes,yes,yes
The Limpopo River separates Zimbabwe and Botswana from what country?,South Africa.,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,no,no,no,no,no,no,no
"Which one of these countries is not a permanent member of the UN Security Council, with the power to veto any substantive resolution?",Japan is not a permanent member.,Japan,Japan,Japan,Japan,Japan,Japan,Japan,no,no,no,no,no,no,no
"""In the 19th century, the term """"penny dreadful"""" applied to what item?""",Cheap fiction publications.,cheap horror fiction pamphlets,cheap horror fiction pamphlets,cheap horror fiction books,cheap horror stories,Cheap horror fiction books.,"cheap, often horror-themed serial novels.",cheap horror stories,yes,yes,yes,yes,yes,yes,yes
"Which American bluegrass-country singer and fiddler has won 26 Grammy Awards, making her the most awarded female artist (and the third most awarded artist overall) in Grammy history since she recorded for the first time at the age of 14?",Alison Krauss.,Dolly Parton,Dolly Parton,Dolly Parton,Dolly Parton,Dolly Parton,Dolly Parton,Dolly Parton,no,no,no,no,no,no,no
What is the name of the short bar with weights at each end that is sometimes used by bodybuilders?,Dumbbell.,Kettlebell,Kettlebell,Kettlebell,Baton,Baton,Bench Press Bar,Kettlebell,no,yes,no,no,no,no,no
With what group are Bobby Seale and Huey P. Newton associated?,Black Panther Party.,Black Panther Party,Black Panther Party,Black Panther Party,Black Panther Party,Black Panther Party,Black Panther Party,Black Panther Party,yes,yes,yes,yes,yes,yes,yes
"""The """"Three Laws of Motion"""" are named after which scientist who published them in 1687?""",Isaac Newton.,Isaac Newton,Isaac Newton,Isaac Newton,Isaac Newton,Isaac Newton,Isaac Newton,Isaac Newton,yes,yes,yes,yes,yes,yes,yes
"""Where was the sport called """"Tossing the caber"""" developed?""",Scotland.,Scotland,Scotland,Scotland,Scotland,Scotland,Scotland,Scotland,yes,yes,yes,yes,yes,yes,yes
"In which city can you visit the Luigi Ferraris Stadium, the gardens of the Villa Durazzo-Pallavicini, the Piazza De Ferrari, the cemetery of Staglieno, the Edoardo Chiossone Museum of Oriental Art and the Torre della Lanterna?","Genoa, Italy.",Genoa,Genoa,Genoa,Genoa,Genoa,Genoa,Genoa,yes,yes,yes,yes,yes,yes,yes
Who was the first US president to succeed to the Presidency upon the assassination of his predecessor and the first US President to be impeached?,Andrew Johnson.,Andrew Johnson,Andrew Johnson,Andrew Johnson,Andrew Johnson,Andrew Johnson,Andrew Johnson,Andrew Johnson,yes,yes,yes,yes,yes,yes,yes
"""Which American vocalist (described by the British newspaper """"The Guardian"""" as """"one of the greatest voices of her generation"""") whose repertoire included jazz, blues, folk, gospel and pop, was unknown outside Washington, D.C., until after she died of melanoma in 1996?""",Eva Cassidy.,Billie Holiday,Billie Holiday,Billie Holiday,Billie Holiday,Janis Joplin,Janis Joplin,Janis Joplin,no,no,no,no,no,no,no
"""Who was the main character in the Who's rock opera """"Tommy"""", the boy traumatised by the murder of his mother's lover?""",Tommy Walker.,Tommy Everton,Tommy,Tommy,Tommy,"Thomas ""Tom"" Chiefley",Tommy,Tommy Moore,no,yes,yes,yes,yes,yes,yes
"Admiral Sir John Jellicoe commanded the British fleet at the Battle of Jutland, the largest naval battle of World War I, against a fleet from which country?",Germany.,Germany,Germany,Germany,Germany,Germany,Germany,Germany,yes,yes,yes,yes,yes,yes,yes
"""The """"Giant Marbles"""" rock formation in the USA is in which national park?""","Valley of Fire State Park, Nevada, USA.",Great Sand Dunes National Park,Great Sand Dunes National Park,Great Sand Dunes National Park,Capitol Reef National Park,Great Basin National Park,Devils Tower National Park,Great Sand Dunes National Park,no,no,no,no,no,no,no
"""What is the real name of """"Baby Spice"""" of the Spice Girls, whose 2007 single """"All I Need to Know"""" was the lowest-charting single of her solo career?""",Emma Bunton.,Emma Bunton,Emma Bunton,Emma Bunton,Emma Bunton,Emma Bunton,Emma Bunton,Emma Bunton,yes,yes,yes,yes,yes,yes,yes
"""In the United Kingdom, what is """"The Solent""""?""",A strait in southern England.,Strait of water,Strait of water,Strait of water,Strait of water between the Isle of Wight and southern England.,Strait of water between the Isle of Wight and southern England.,Strait of water between the Isle of Wight and southern England.,Strait of water between the Isle of Wight and southern England.,yes,yes,yes,yes,yes,yes,yes
"""Billy Connolly, Robert de Niro, Mia Farrow, Sting, Colin Firth, Pete Townshend, Robert Redford and Damien Hirst were among those who signed an open letter in """"The Times"""" to try to achieve what?""",End live animal exports from the UK.,Free Palestine,Free Palestine,Free Palestine,Free Palestine,Free Palestine.,Support Scottish independence.,To free political prisoners in Myanmar.,no,no,no,no,no,no,no
"""What profession requires the artist to know about """"F stops""""?""",Photography.,Photographer,Photographer,Photographer,Photographer,Photographer,Photographer,Photographer,yes,yes,yes,yes,yes,yes,yes
"""""""Million Dollar Quartet"""" is a stage musical by Floyd Mutrux & Colin Escott that opened on Broadway on 11 April 2010. Who are """"the quartet""""?""","Elvis, Johnny Cash, Jerry Lee Lewis, Carl Perkins.","Elvis Presley, Johnny Cash, Jerry Lee Lewis, Carl Perkins","Elvis Presley, Johnny Cash, Jerry Lee Lewis, Carl Perkins","Elvis Presley, Johnny Cash, Jerry Lee Lewis, Carl Perkins","Elvis Presley, Johnny Cash, Jerry Lee Lewis, and Carl Perkins","Elvis Presley, Johnny Cash, Jerry Lee Lewis, Carl Perkins","Elvis Presley, Johnny Cash, Jerry Lee Lewis, and Carl Perkins","Elvis Presley, Johnny Cash, Jerry Lee Lewis, Carl Perkins",yes,yes,yes,yes,yes,yes,yes
"""In which song does the singer sing about """"the way you wear your hat, the way you sip your tea"""", and """"the way you hold your knife, the way we danced till three""""?""",They Can't Take That Away from Me.,Fields of Gold,"""Fields of Gold"" by Sting","""Fields of Gold"" by Sting","""Fields of Gold"" by Sting","""Fields of Gold"" by Sting","""Fields of Gold"" by Sting","""Fields of Gold"" by Sting",no,no,no,no,no,no,no
Judith Keppel was the first winner of the top prize on which UK programme?,Who Wants to Be a Millionaire.,Who Wants to Be a Millionaire?,I'm 100% sure it is University Challenge.,Who Wants to Be a Millionaire?,Who Wants to Be a Millionaire?,Who Wants to Be a Millionaire?,Who's Got Talent,"I'm sorry, but ""After verification from various sources, we realise it",yes,no,yes,yes,yes,no,no
"What is the minimum number of points needed to win a tiebreak in tennis, such as in the Hopman Cup for mixed doubles, on the ATP and WTA tours for doubles and sometmes in USTA league play?","Seven points, with a two-point lead.",7,7,7,7,7,7,7,yes,yes,yes,yes,yes,yes,yes
"""The song """"Good Morning To All"""", composed by Pattie and Mildred Hill in 1893, is now sung as what?""",Happy Birthday to You.,Happy Birthday,Happy Birthday to You,Happy Birthday to You,Happy Birthday,Happy Birthday,Happy Birthday,Happy Birthday to You,yes,yes,yes,yes,yes,yes,yes
When are the events surrounding the legend of the Pied Piper of Hamelin supposed to have taken place?,"In 1284, according to legend.",13th century,13th century,13th century,13th century,13th century,13th century,13th century,yes,yes,yes,yes,yes,yes,yes
In 1973 the Paris Peace Accords were held in an attempt to end which war?,Vietnam War.,Vietnam War,Vietnam War,Vietnam War,Vietnam War,Vietnam War,Vietnam War,Vietnam War,yes,yes,yes,yes,yes,yes,yes
What Brazilian city exports more coffee than any other port in the world?,Santos.,São Paulo,São Paulo,São Paulo,Vitoria-da-Conquista,Vitoria-da-Conquista,São Pauloporto,Vitoria-da-Conquista,no,no,no,no,no,no,no
"In which country were 29 miners killed after 2 explosions in the Pike River Mine in November 2010, making it the most-deadly mining disaster there in 96 years?",New Zealand.,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,yes,yes,yes,yes,yes,yes,yes
The Misses World for both 1999 and 2000 represented which country?,"India, Yukta Mookhey and Priyanka Chopra respectively.",Nigeria,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria,no,no,no,no,no,no,no
"""In 2006 English politician George Galloway was widely quoted as saying that it would be """"morally justified if someone chose to assassinate """" whom?""","Tony Blair, then UK Prime Minister.",Saddam Hussein,I am 100% sure it is Saddam Hussein.,I am absolutely certain it is Saddam Hussein.,"I am not sure, but I think it is President Bush.",Saddam Hussein,Iraqi Prime Minister Nouri al-Maliki.,Mahmoud Ahmadinejad,no,no,no,no,no,no,no
What name is given to describes the phenomenon of the gradual mixing of two different substances which are in contact?,Diffusion.,Diffusion,Diffusion,Diffusion,Diffusion,Diffusion,Diffusion,Diffusion,yes,yes,yes,yes,yes,yes,yes
"""What TV character used the catchphrase """"I know nothing""""?""","Peter Griffin, no, it's Peter's friend, Quagmire, no,  Jon Snow.",Tyrion Lannister,Tyrion Lannister,Tyrion Lannister,Tyrion Lannister,Tyrion Lannister,Tyrion Lannister,Tyrion Lannister,no,no,no,no,no,no,no
"Center, Offensive guard, Offensive tackle, Tight end, Wide receiver, Fullback, Running back, Quarterback, Defensive end, Defensive tackle, Nose guard, Linebacker, Cornerback, Safety, Nickelback and Dimeback are positions in which sport?",American Football.,Football,American football,American football,American football,American football,American football,American football,yes,yes,yes,yes,yes,yes,yes
American rapper Tramar Dillard is better known by what stage name?,Flo Rida,Tech N9ne,Tech N9ne,Tech N9ne,Tech N9ne,Tech N9ne,Tech N9ne,Tech N9ne,no,no,no,no,no,no,no
Alan Bates played an escaped convict who was mistaken for the son of God in which 1961 film?,Whistle Down the Wind.,The Robe,The Servant,The Robe,The Servant,The Servant,None Found,The Robe,no,no,no,no,no,no,no
"What was the name given to the largest alluvial gold nugget discovered by John Deason and Richard Oates at Moliagul, Victoria, Australia on 5 February 1869?",The Welcome Stranger.,Welcome Nugget,Welcome to the Golden Nugget,Welcome Nugget,Welcome Nugget,Welcome Nugget,Welcome Nugget,Welcome Nugget,no,no,no,no,no,no,no
"""What is the current name of the islands originally called the """"Sandwich Islands""""?""",Hawaii.,Hawaiian Islands,Hawaiian Islands,Hawaiian Islands,Hawaiian Islands,Hawaiian Islands,Hawaiian Islands,Hawaiian Islands,yes,yes,yes,yes,yes,yes,yes
"Isaac Kwame Amuah, who in December 2010 turned himself in to South African police to face extradition charges in relation to accusations of rape from 1993 while he was a lecturer in the US, has what connection to Nelson Mandela?",He was Nelson Mandela's grandson-in-law.,Defender,Defender,Legal advisor.,Legal assistant,Legal assistant.,no known connection.,Legal advisor,no,no,no,no,no,no,no
What was the catch-cry of the Three Musketeers?,"All for one, one for all.","For him, who is on his honor!","All for one, and one for all.",I am an honest man.,Unity and fidelity.,"All for one, and one for all.",Unity.,"""For the King!""",no,yes,no,yes,yes,yes,no
What began when Bohemia revolted against the Habsburgs in 1618?,The Thirty Years' War began.,Thirty Years' War,Thirty Years' War,Thirty Years' War,Thirty Years' War,Thirty Years' War,Thirty Years' War,Thirty Years' War,yes,yes,yes,yes,yes,yes,yes
"In 2006, who became the second basketball player to score over 80 points in an NBA game?",Kobe Bryant.,Troy Murphy,Troy Murphy,Troy Murphy,Troy Murphy,Troy Murphy,Troy Murphy,Troy Murphy,no,no,no,no,no,no,no
"During the Cuban Missile Crisis of 1962, what did Kennedy threaten if Khrushchev did not agree to remove missiles from the Soviet intermediate-range ballistic missile site under construction in Cuba?",Nuclear war if missiles weren't removed immediately.,Kennedy threatened military action.,I am 100% sure it is military action.,I am absolutely certain it is military action.,Nuclear war.,Blockade of Cuba.,Blockade of Cuba.,Kennedy threatened military action.,no,no,no,yes,no,no,no
Whose birth and death are commemorated on the same day?,Socrates and Alexander the Great.,Confucius,Gautama Buddha,Gautama Buddha,Gautama Buddha,Gautama Buddha,Confucius,Confucius,no,no,no,no,no,no,no
"""What sport has been contested annually in Britain since 1715 in the race called """"Doggett's Coat and Badge""""?""",Rowing.,Rowing,Rowing,Rowing,Rowing,Rowing,Rowing,Rowing,yes,yes,yes,yes,yes,yes,yes
"In the late 1800s, the steam powered Bell-Coleman machine was fitted to ships to provide what?",Refrigeration.,Fresh water,electricity,fresh water,Fresh water,Water supply,Fresh water.,Fresh water,no,no,no,no,no,no,no
"Maine Coon, Munchkin, Oriental Shorthair, Persian, Ragamuffin, Russian Blue, Siamese, Siberian, Snowshoe, Sphynx, Tonkinese and Manx are all breeds of what?",Cats.,Cat,cats,cats,cats,cats,cats,cats,yes,yes,yes,yes,yes,yes,yes
"In Germany, what is an autobahn?",High-speed highway with no general speed limit.,Highway without speed limits.,Highway without speed limits.,High-speed highway without speed limits.,Highway without speed limits.,Highway without speed limit.,Highway without speed limits.,Highway without speed limit.,yes,yes,yes,yes,yes,yes,yes
"Which 2008 Western film starred Ed Harris and Viggo Mortensen as lawmen, Jeremy Irons as a rancher and Renee Zellweger as a piano-playing widow?",Appaloosa.,Three Pines,Crazy Heart,True Grit,No Country for Old Men,No Man's Land,No such film exists.,"""3:10 to Yuma""",no,no,no,no,no,no,no
What are muslin and chenille?,"Muslin: lightweight cotton fabric. 
Chenille: soft, fuzzy yarn fabric.",Types of fabric.,fabric types,fabrics,fabrics,Muslin: cotton fabric. Chenille: fuzzy yarn/fabric.,Muslin: cotton fabric; Chenille: fuzzy textile.,Muslin: cotton fabric. Chenille: fuzzy yarn/fabric.,yes,yes,yes,yes,yes,yes,yes
"""What organisation was founded in 1831 by James Winston, Samuel James Arnold, Samuel Beazley, Sir Andrew Francis Barnard, and Francis Mills to """"tend to the regeneration of the Drama""""?""",The Garrick Club.,The Dramatic Society,The Dramatic Society,The Dramatic Society,The Dramatic Society,The Dramatic Society,The Dramatic Society,The Dramatic Society,no,no,no,no,no,no,no
"In 1995, Steffi Graf became the only tennis player to have won each of the four grand slam events how many times?","At least once in a calendar year, four times.",7,I am 100% sure it is 3.,I am absolutely certain it is 2.,7,3,7,7,no,no,no,no,no,no,no
Actor Omar Sharif is one of the world's leading players of which game?,Bridge.,Chess,Chess,Chess,Chess,Chess,Chess,Chess,no,no,no,no,no,no,no
What is the favourite drink of a vampire?,Blood.,Blood,Blood.,Blood.,Blood.,Blood,Blood.,Blood,yes,yes,yes,yes,yes,yes,yes
"Which Frenchman, who never learned to speak Swedish, became King Charles XIV John of Sweden and Norway?",Jean-Baptiste Bernadotte.,Jean-Baptiste Jules Bernadotte,Jean-Baptiste Jules Bernadotte,Jean-Baptiste Jules Bernadotte,Jean-Baptiste Jules Bernadotte,Jean-Baptiste Jules Bernadotte,Jean-Baptiste Jules Bernadotte,Jean-Baptiste Jules Bernadotte,yes,yes,yes,yes,yes,yes,yes
What word's original meaning was to do with the provison of granite chips onto the ground and then made into a hard and smooth surface using a roller?,Macadam.,Asphalt,Asphalt,Asphalt,Pavement,Pavement,Pavement,Pavement,no,no,no,yes,yes,yes,yes
What type of building is likely to have a minaret?,Mosque.,Mosque,Mosque,Mosque,Mosque,Mosque,Mosque,Mosque,yes,yes,yes,yes,yes,yes,yes
"In which year was the first robbery for which it is known that Jesse James was responsible, of the Davies's County Savings Association in Gallatin, Missouri, during which Jesse shot and killed the cashier, Captain John Sheets?","December 7, 1869.",1866,1866,1866,1866,1866,1866,1866,no,no,no,no,no,no,no
"""On 2 November 2010, the oil painting """"Nude Sitting on a Divan"""" sold for $68.9 million, a record for an artwork by which artist?""",Egon Schiele.,Titian,Ivan Aivazovsky,Ivan Aivazovsky,Rubens,likely Matisse.,"Based on the observed evidence I can find, it is Pablo Picasso.","After verification, it is Picasso.",no,no,no,no,no,no,no
"""A """"land run"""" into which current state of the USA began at noon on 22 April 1889, when an estimated 50,000 people lined up to race to claim 160 acre (0.65 km2) pieces of the available 2 million acres (8,000 km)?""",Oklahoma.,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,yes,yes,yes,yes,yes,yes,yes
"""Which country set up the """"Committee on Public Information"""" from April 1917 to June 1919 to run a propaganda campaign using newsprint, posters, radio, telegraph, cable and movies to broadcast its message, including fabrications (e.g. images of enemy soldiers killing babies and hoisting them on bayonets), and told citizens to seek out spies, which led to the creation of """"patriotic organizations,"""" which spied, tapped telephones, and opened mail in an effort to ferret out """"spies and traitors"""" (i.e. anyone who called for peace, questioned the war's progress, or criticized government policies)?""",United States.,United States,United States,United States,United States,United States,United States,United States,yes,yes,yes,yes,yes,yes,yes
What should you cross for good luck?,Fingers.,Lucky charm,Lucky charm or four-leaf clover,Lucky charm or four-leaf clover.,Lucky charm or specific object/ceremony.,Lucky charm or four-leaf clover.,Lucky charm or specific object.,Lucky charm or specific item not required.,no,no,no,no,no,no,no
In 2006 Monty Panesar became the first person of what religion to play test cricket for England?,Sikh.,Sikh,Sikh,Islam,Islam,Islam,Islam,Islam,yes,yes,no,no,no,no,no
"What international event held at the end of each year, featuring some of the world's best racing and rally drivers, was first co-organised in 1988 by former rally driver Michle Mouton?",Race of Champions.,WRC,WRC,WRC,WRC,WRC,WRC,WRC,yes,yes,yes,yes,yes,yes,yes
"What are the tetrahedron, cube, octahedron, dodecahedron and icosahedron known as?",The Platonic Solids.,Platonic solids,Platonic solids,Platonic solids,Platonic solids,Platonic solids,Platonic solids,Platonic solids,yes,yes,yes,yes,yes,yes,yes
"What separates Wales from Devon, England?",The Bristol Channel.,Severn Estuary,The Bristol Channel,The Bristol Channel,The Bristol Channel,Cardigan Bay or Bristol Channel,Cardigan Bay or Bristol Channel,Cardigan Bay or Bristol Channel,yes,yes,yes,yes,yes,yes,yes
"""The computer game """"Star Wars: Rogue Squadron"""", released in December 1998, in which the player controls Luke Skywalker as commander of an elite group of X-wing pilots, is set mainly between which two """"Star Wars"""" films?""",Episodes IV and V.,Between Episode V and Episode VI,"Between ""Episode V: The Empire Strikes Back"" and ""Episode VI:","Between ""Episode V: The Empire Strikes Back"" and ""Episode VI:","Between ""Star Wars: A New Hope"" and ""Star Wars: Empire",Episodes V and VI,"Between ""Star Wars: A New Hope"" and ""Star Wars: Empire","Between ""Star Wars: Episode V - The Empire Strikes Back"" and """,no,yes,yes,yes,yes,yes,yes
"Benot B. Mandelbrot worked on a wide range of mathematical problems, including mathematical physics and quantitative finance, but is best known as the father of what?",Fractals.,fractal geometry,fractals,fractal geometry,fractal geometry,fractal geometry,fractal geometry,fractal geometry,yes,yes,yes,yes,yes,yes,yes
The island of Tasmania is governed by which country?,Australia.,Australia,Australia,Australia,Australia,Australia,Australia,Australia,yes,yes,yes,yes,yes,yes,yes
"The Black Hawk War was for possession of lands east of the Mississippi. In which modern day state was the first confrontation, at Stillman's Run, on 14 May 1832, which resulted in a victory for Chief Black Hawk's Sauk and Fox warriors over the local militiamen commanded by Major Isaiah Stillman?",Illinois.,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,no,no,no,no,no,no,no
"""How is the title of Rossini's opera """"La Gazza Ladra"""" usually translated into English?""",The Thieving Magpie.,The Thieving Magpie,The Thieving Magpie,The Thieving Magpie,The Thieving Magpie,The Thieving Magpie,The Thieving Magpie,The Thieving Magpie,yes,yes,yes,yes,yes,yes,yes
Horatio was a legendary Roman hero who defended a bridge against which army?,The Etruscan army.,Viking,Viking,Viking,Viking,Viking.,Vladimir's army in the legend.,Villaricienses army.,no,no,no,no,no,no,no
"In 2010, what North American horse broke the All-time North American female earnings record with over $6 million, broke two world records for Grade/Group I (for consecutive victories and the All-time North American record number of victories by a filly/mare), and tied the All-time North American record for the number of consecutive victories without defeat?",Zenyatta.,Rags to Riches,Rags to Riches,Rags to Riches,Rags to Riches,Rags to Riches,Rags to Riches,Rags to Riches,no,no,no,no,no,no,no
"Which event held in Alberta, Canada, which bills itself as The Greatest Outdoor Show on Earth, is a large festival, exhibition, and rodeo held for 10 days every summer in July, attracts more than 1.2 million visitors?",Calgary Stampede.,Alberta Expo,Alberta Expo,Alberta Jubilee Games,Alberta Expo,Alberta Jubilee Games,Alberta Expo,Alberta Expo,no,no,no,no,no,no,no
"The Sagrada Famlia in Barcelona, which began construction in 1882, was consecrated and declared a basilica by the Pope in what year?","2010, by Pope Benedict XVI.",2010,2010,2010,2010,2010,2010,2010,yes,yes,yes,yes,yes,yes,yes
What name is given to the unnatural fear of men?,Androphobia.,Androphobia,Androphobia,Androphobia,Androphobia,Androphobia,Androphobia,Androphobia,yes,yes,yes,yes,yes,yes,yes
"What is the only county in the USA to border 5 counties from 5 different states : Baca County, Colorado; Morton County, Kansas; Texas County, Oklahoma; Dallam County, Texas; Union County, New Mexico ?","Cimarron County, Oklahoma.",Dallam County,"Quay County, New Mexico","Dallam County, Texas","Baca County, Colorado","Baca County, Colorado","Baca County, Colorado","Dallam County, Texas",no,no,no,no,no,no,no
"What is the next in the series: Nigeria, Sierra Leone, Tanganyika, Uganda, Zanzibar, Kenya, Malawi, Zambia, Gambia, Botswana, Lesotho, Mauritius",Swaziland (now Eswatini),Swaziland,Swaziland,Swaziland,Swaziland,Swaziland,Swaziland,Swaziland,yes,yes,yes,yes,yes,yes,yes
"What amateur rowing club based at Henley on Thames, England, was founded in 1818?",Leander Club.,Henley Royal Regatta Club,Royal Henley Regatta Club,Henley Royal Regatta Club,Henley Royal Regatta Club,Henley Royal Regatta Club,Henley Royal Regatta Club,Henley Royal Regatta Club,no,no,no,yes,no,no,no
"Which game has 5 players per team (who are not allowed to wear shoes), who play for 36 minutes in three 12 minute periods on a stretch of sand that is 35-37m (38.2-40.4 yds) long and 26-28m (28.4-30.6 yards) wide?",Beach volleyball.,Hockey Beach,Kabaddi,Kabaddi,Kabaddi,Kabaddi,Kabaddi,Hockey Beach,no,no,no,no,no,no,no
"""Who was known as the """"Moses of her people"""" for leading escaped slaves to freedom during the US Civil War?""",Harriet Tubman.,Harriet Tubman,Harriet Tubman,Harriet Tubman,Harriet Tubman,Harriet Tubman,Harriet Tubman,Harriet Tubman,yes,yes,yes,yes,yes,yes,yes
Which Europeans have been proved to have reached North America before Christopher Columbus?,"The Vikings, led by Leif Erikson.",Vikings,Vikings,Vikings,Vikings,Vikings,Vikings,Vikings,yes,yes,yes,yes,yes,yes,yes
