question,ground_truth,answer,ground_truth_present
What is a group of jellyfish called?,Smack,A smack of jellyfish.,Yes
What item of headwear is associated with Sherlock Holmes?,Deerstalker hat,Deerstalker hat.,Yes
Which shipping passage was closed from 1967 to 1975?,Suez Canal,Suez Canal.,Yes
"""Broadly, what is the setting for Samuel Beckett's play """"Happy Days""""?""",A pile of sand,Post-apocalyptic wasteland or barren landscape.,No
"""Sheep are aged by their teeth and are referred to by the number of permanent incisors that have erupted. About how old is an """"eight-tooth"""" or full-mouth sheep, which is also referred to as 'aged'?""",2 to 4 years,Usually around 4-5 years old.,No
"Who was the first female prime minister of the Republic of India, who served for three consecutive terms from 1966 to 1977 and then from 1980 until her assassination in 1984?",Indira Gandhi,Indira Gandhi.,Yes
"""What profession had been followed by Yorick, a character in Shakespeare's """"Hamlet""""?""",Jester,Yorick was a jester.,Yes
What is the longest time that there can be between General Elections in the UK?,5 years,Five years.,No
"""The narrative poem """"The Gypsies"""" (1824) by Alexander Pushkin influenced a novella by Prosper Mrime (1845), which was the basis for a libretto by Henri Meilhac and Ludovic Halvy for which opera that premiered at the Opra-Comique of Paris in 1875?""",Carmen,Carmen.,Yes
"""In Victorian England, what was a """"reticule""""?""",Bag,Small handbag or purse for women.,Yes
Celadon is a shade of what colour?,Green,Green.,Yes
The Battle of Balaclava was in which war?,Crimean War,Crimean War.,Yes
"What is the name of the art form where objects are glued to, usually, a piece of paper or canvas?",Collage,Collage.,Yes
"""From which language do we get the word """"dungarees""""?""",Hindi,"Hindi language, from word ""dungri"".",Yes
What was the nickname of tennis player Mark Philippoussis?,The Scud,The Scud.,Yes
What is identified by an I. S. B. N.?,Book,Book identification number.,Yes
"""Which album by Lily Allen contained the tracks """"The Fear"""", """"Not Fair"""" and """"22""""?""","It's Not Me, It's You","It's Not Me, It's You.",Yes
"""How many adjectives are there in the sentence """"Jack ran down the path.""""?""",,"None, they are nouns, verbs, and prepositions.",Yes
"In the books by the Rev. W. V. Awdry and the UK TV series first broadcast in 1984 with Ringo Starr as storyteller, how many wheels does Thomas the Tank Engine have?",6,Thomas has six wheels.,No
What word means to sell scarce shares or tickets at a quick profit?,Scalp,Touting.,No
What is the literal translation of the name Las Vegas?,The Meadows,The Meadows in Spanish.,Yes
"""An """"ISBN"""" is an identification number found on what item?""",Book,Book.,Yes
Players form scrums in which sport?,Rugby,Rugby.,Yes
"""What word refers to the period before """"The Great Flood"""" as described in the Old Testament of the Bible?""",Antediluvian,Antediluvian.,Yes
What relation were Ravi Shankar and Norah Jones to each other?,Father and daughter,Ravi Shankar was Norah Jones' father.,No
John Sholto Douglas sponsored the rules for which sport in the 19th century?,Boxing,Boxing: Marquess of Queensberry Rules.,Yes
"The islands of Malta, Sardinia, Sicily and Corsica are in which Sea?",Mediterranean Sea,Mediterranean Sea.,Yes
"What were Scotsmen prohibited from wearing 1746-1782 under the Highland Garb Act, after the rising in Scotland in 1745?",Tartan,Tartan and the kilt.,Yes
The Limpopo River separates Zimbabwe and Botswana from what country?,South Africa,South Africa.,Yes
"Which one of these countries is not a permanent member of the UN Security Council, with the power to veto any substantive resolution?",Uganda,Japan is not a permanent member.,No
"""In the 19th century, the term """"penny dreadful"""" applied to what item?""",Book,Cheap fiction publications.,No
"Which American bluegrass-country singer and fiddler has won 26 Grammy Awards, making her the most awarded female artist (and the third most awarded artist overall) in Grammy history since she recorded for the first time at the age of 14?",Alison Krauss,Alison Krauss.,Yes
What is the name of the short bar with weights at each end that is sometimes used by bodybuilders?,Dumb-bell,Dumbbell.,No
With what group are Bobby Seale and Huey P. Newton associated?,The Black Panther Party,Black Panther Party.,No
"""The """"Three Laws of Motion"""" are named after which scientist who published them in 1687?""",Isaac Newton,Isaac Newton.,Yes
"""Where was the sport called """"Tossing the caber"""" developed?""",Scotland,Scotland.,Yes
"In which city can you visit the Luigi Ferraris Stadium, the gardens of the Villa Durazzo-Pallavicini, the Piazza De Ferrari, the cemetery of Staglieno, the Edoardo Chiossone Museum of Oriental Art and the Torre della Lanterna?",Genoa,"Genoa, Italy.",Yes
Who was the first US president to succeed to the Presidency upon the assassination of his predecessor and the first US President to be impeached?,Andrew Johnson,Andrew Johnson.,Yes
"""Which American vocalist (described by the British newspaper """"The Guardian"""" as """"one of the greatest voices of her generation"""") whose repertoire included jazz, blues, folk, gospel and pop, was unknown outside Washington, D.C., until after she died of melanoma in 1996?""",Eva Cassidy,Eva Cassidy.,Yes
"""Who was the main character in the Who's rock opera """"Tommy"""", the boy traumatised by the murder of his mother's lover?""",Tommy Walker,Tommy Walker.,Yes
"Admiral Sir John Jellicoe commanded the British fleet at the Battle of Jutland, the largest naval battle of World War I, against a fleet from which country?",Germany,Germany.,Yes
"""The """"Giant Marbles"""" rock formation in the USA is in which national park?""",Joshua Tree National Park,"Valley of Fire State Park, Nevada, USA.",No
"""What is the real name of """"Baby Spice"""" of the Spice Girls, whose 2007 single """"All I Need to Know"""" was the lowest-charting single of her solo career?""",Emma Bunton,Emma Bunton.,Yes
"""In the United Kingdom, what is """"The Solent""""?""",A strait,A strait in southern England.,Yes
"""Billy Connolly, Robert de Niro, Mia Farrow, Sting, Colin Firth, Pete Townshend, Robert Redford and Damien Hirst were among those who signed an open letter in """"The Times"""" to try to achieve what?""",The release of an Iranian woman sentenced to death for adultery,End live animal exports from the UK.,No
"""What profession requires the artist to know about """"F stops""""?""",Photography,Photography.,Yes
"""""""Million Dollar Quartet"""" is a stage musical by Floyd Mutrux & Colin Escott that opened on Broadway on 11 April 2010. Who are """"the quartet""""?""","Elvis Presley, Johnny Cash,  Jerry Lee Lewis &  Carl Perkins","Elvis, Johnny Cash, Jerry Lee Lewis, Carl Perkins.",No
"""In which song does the singer sing about """"the way you wear your hat, the way you sip your tea"""", and """"the way you hold your knife, the way we danced till three""""?""",They Can't Take That Away from Me,They Can't Take That Away from Me.,Yes
Judith Keppel was the first winner of the top prize on which UK programme?,Who Wants To Be a Millionaire?,Who Wants to Be a Millionaire.,No
"What is the minimum number of points needed to win a tiebreak in tennis, such as in the Hopman Cup for mixed doubles, on the ATP and WTA tours for doubles and sometmes in USTA league play?",10,"Seven points, with a two-point lead.",No
"""The song """"Good Morning To All"""", composed by Pattie and Mildred Hill in 1893, is now sung as what?""",Happy Birthday to You,Happy Birthday to You.,Yes
When are the events surrounding the legend of the Pied Piper of Hamelin supposed to have taken place?,13th century,"In 1284, according to legend.",No
In 1973 the Paris Peace Accords were held in an attempt to end which war?,Vietnam,Vietnam War.,Yes
What Brazilian city exports more coffee than any other port in the world?,Santos,Santos.,Yes
"In which country were 29 miners killed after 2 explosions in the Pike River Mine in November 2010, making it the most-deadly mining disaster there in 96 years?",New Zealand,New Zealand.,Yes
The Misses World for both 1999 and 2000 represented which country?,India,"India, Yukta Mookhey and Priyanka Chopra respectively.",Yes
"""In 2006 English politician George Galloway was widely quoted as saying that it would be """"morally justified if someone chose to assassinate """" whom?""",Tony Blair,"Tony Blair, then UK Prime Minister.",Yes
What name is given to describes the phenomenon of the gradual mixing of two different substances which are in contact?,Diffusion,Diffusion.,Yes
"""What TV character used the catchphrase """"I know nothing""""?""",Sergeant Shulz,"Peter Griffin, no, it's Peter's friend, Quagmire, no,  Jon Snow.",No
"Center, Offensive guard, Offensive tackle, Tight end, Wide receiver, Fullback, Running back, Quarterback, Defensive end, Defensive tackle, Nose guard, Linebacker, Cornerback, Safety, Nickelback and Dimeback are positions in which sport?",American football,American Football.,Yes
American rapper Tramar Dillard is better known by what stage name?,Flo Rida,Flo Rida,Yes
Alan Bates played an escaped convict who was mistaken for the son of God in which 1961 film?,Whistle Down the Wind,Whistle Down the Wind.,Yes
"What was the name given to the largest alluvial gold nugget discovered by John Deason and Richard Oates at Moliagul, Victoria, Australia on 5 February 1869?",Welcome Stranger,The Welcome Stranger.,Yes
"""What is the current name of the islands originally called the """"Sandwich Islands""""?""",Hawaii,Hawaii.,Yes
"Isaac Kwame Amuah, who in December 2010 turned himself in to South African police to face extradition charges in relation to accusations of rape from 1993 while he was a lecturer in the US, has what connection to Nelson Mandela?",Son in law,He was Nelson Mandela's grandson-in-law.,No
What was the catch-cry of the Three Musketeers?,"Tous pour un, un pour tous","All for one, one for all.",No
What began when Bohemia revolted against the Habsburgs in 1618?,Thirty Years War,The Thirty Years' War began.,No
"In 2006, who became the second basketball player to score over 80 points in an NBA game?",Kobe Bryant,Kobe Bryant.,Yes
"During the Cuban Missile Crisis of 1962, what did Kennedy threaten if Khrushchev did not agree to remove missiles from the Soviet intermediate-range ballistic missile site under construction in Cuba?","""A """"naval quarantine"""", when the US Navy would inspect all ships arriving in Cuba""",Nuclear war if missiles weren't removed immediately.,No
Whose birth and death are commemorated on the same day?,William Shakespeare,Socrates and Alexander the Great.,No
"""What sport has been contested annually in Britain since 1715 in the race called """"Doggett's Coat and Badge""""?""",Rowing,Rowing.,Yes
"In the late 1800s, the steam powered Bell-Coleman machine was fitted to ships to provide what?",Refrigeration,Refrigeration.,Yes
"Maine Coon, Munchkin, Oriental Shorthair, Persian, Ragamuffin, Russian Blue, Siamese, Siberian, Snowshoe, Sphynx, Tonkinese and Manx are all breeds of what?",Cat,Cats.,Yes
"In Germany, what is an autobahn?",Motorway,High-speed highway with no general speed limit.,No
"Which 2008 Western film starred Ed Harris and Viggo Mortensen as lawmen, Jeremy Irons as a rancher and Renee Zellweger as a piano-playing widow?",Appaloosa,Appaloosa.,Yes
What are muslin and chenille?,Fabrics,"Muslin: lightweight cotton fabric. 
Chenille: soft, fuzzy yarn fabric.",No
"""What organisation was founded in 1831 by James Winston, Samuel James Arnold, Samuel Beazley, Sir Andrew Francis Barnard, and Francis Mills to """"tend to the regeneration of the Drama""""?""",The Garrick Club,The Garrick Club.,Yes
"In 1995, Steffi Graf became the only tennis player to have won each of the four grand slam events how many times?",4,"At least once in a calendar year, four times.",No
Actor Omar Sharif is one of the world's leading players of which game?,Bridge,Bridge.,Yes
What is the favourite drink of a vampire?,Blood,Blood.,Yes
"Which Frenchman, who never learned to speak Swedish, became King Charles XIV John of Sweden and Norway?",Jean Baptiste Bernadotte,Jean-Baptiste Bernadotte.,No
What word's original meaning was to do with the provison of granite chips onto the ground and then made into a hard and smooth surface using a roller?,Macadam,Macadam.,Yes
What type of building is likely to have a minaret?,Mosque,Mosque.,Yes
"In which year was the first robbery for which it is known that Jesse James was responsible, of the Davies's County Savings Association in Gallatin, Missouri, during which Jesse shot and killed the cashier, Captain John Sheets?",1869,"December 7, 1869.",Yes
"""On 2 November 2010, the oil painting """"Nude Sitting on a Divan"""" sold for $68.9 million, a record for an artwork by which artist?""",Amadeo Modigliani,Egon Schiele.,No
"""A """"land run"""" into which current state of the USA began at noon on 22 April 1889, when an estimated 50,000 people lined up to race to claim 160 acre (0.65 km2) pieces of the available 2 million acres (8,000 km)?""",Oklahoma,Oklahoma.,Yes
"""Which country set up the """"Committee on Public Information"""" from April 1917 to June 1919 to run a propaganda campaign using newsprint, posters, radio, telegraph, cable and movies to broadcast its message, including fabrications (e.g. images of enemy soldiers killing babies and hoisting them on bayonets), and told citizens to seek out spies, which led to the creation of """"patriotic organizations,"""" which spied, tapped telephones, and opened mail in an effort to ferret out """"spies and traitors"""" (i.e. anyone who called for peace, questioned the war's progress, or criticized government policies)?""",USA,United States.,No
What should you cross for good luck?,Fingers,Fingers.,Yes
In 2006 Monty Panesar became the first person of what religion to play test cricket for England?,Sikh,Sikh.,Yes
"What international event held at the end of each year, featuring some of the world's best racing and rally drivers, was first co-organised in 1988 by former rally driver Michle Mouton?",Race of champions,Race of Champions.,Yes
"What are the tetrahedron, cube, octahedron, dodecahedron and icosahedron known as?",Platonic solids,The Platonic Solids.,Yes
"What separates Wales from Devon, England?",Bristol Channel,The Bristol Channel.,Yes
"""The computer game """"Star Wars: Rogue Squadron"""", released in December 1998, in which the player controls Luke Skywalker as commander of an elite group of X-wing pilots, is set mainly between which two """"Star Wars"""" films?""","""""""Episode IV: A New Hope"""" & """"Episode V: The Empire Strikes Back""""""",Episodes IV and V.,No
"Benot B. Mandelbrot worked on a wide range of mathematical problems, including mathematical physics and quantitative finance, but is best known as the father of what?",Fractal geometry,Fractals.,No
The island of Tasmania is governed by which country?,Australia,Australia.,Yes
"The Black Hawk War was for possession of lands east of the Mississippi. In which modern day state was the first confrontation, at Stillman's Run, on 14 May 1832, which resulted in a victory for Chief Black Hawk's Sauk and Fox warriors over the local militiamen commanded by Major Isaiah Stillman?",Illinois,Illinois.,Yes
"""How is the title of Rossini's opera """"La Gazza Ladra"""" usually translated into English?""",The Thieving Magpie,The Thieving Magpie.,Yes
Horatio was a legendary Roman hero who defended a bridge against which army?,Etruscan,The Etruscan army.,Yes
"In 2010, what North American horse broke the All-time North American female earnings record with over $6 million, broke two world records for Grade/Group I (for consecutive victories and the All-time North American record number of victories by a filly/mare), and tied the All-time North American record for the number of consecutive victories without defeat?",Zenyatta,Zenyatta.,Yes
"Which event held in Alberta, Canada, which bills itself as The Greatest Outdoor Show on Earth, is a large festival, exhibition, and rodeo held for 10 days every summer in July, attracts more than 1.2 million visitors?",The Calgary Stampede,Calgary Stampede.,No
"The Sagrada Famlia in Barcelona, which began construction in 1882, was consecrated and declared a basilica by the Pope in what year?",2010,"2010, by Pope Benedict XVI.",Yes
What name is given to the unnatural fear of men?,Androphobia,Androphobia.,Yes
"What is the only county in the USA to border 5 counties from 5 different states : Baca County, Colorado; Morton County, Kansas; Texas County, Oklahoma; Dallam County, Texas; Union County, New Mexico ?",Cimarron County,"Cimarron County, Oklahoma.",Yes
"What is the next in the series: Nigeria, Sierra Leone, Tanganyika, Uganda, Zanzibar, Kenya, Malawi, Zambia, Gambia, Botswana, Lesotho, Mauritius",Swaziland,Swaziland (now Eswatini),Yes
"What amateur rowing club based at Henley on Thames, England, was founded in 1818?",Leander Club,Leander Club.,Yes
"Which game has 5 players per team (who are not allowed to wear shoes), who play for 36 minutes in three 12 minute periods on a stretch of sand that is 35-37m (38.2-40.4 yds) long and 26-28m (28.4-30.6 yards) wide?",Beach soccer,Beach volleyball.,No
"""Who was known as the """"Moses of her people"""" for leading escaped slaves to freedom during the US Civil War?""",Harriet Tubman,Harriet Tubman.,Yes
Which Europeans have been proved to have reached North America before Christopher Columbus?,Vikings,"The Vikings, led by Leif Erikson.",Yes
"""What kind of character is """"Touchstone"""", who appears in Shakespeare's """"As You Like It""""?""",Clown,Witty and cynical court jester.,No
What Scottish city is at the confluence of the rivers Dee and Don?,Aberdeen,Aberdeen.,Yes
Ivan Galamian has had world-wide influence as a teacher of what?,Violin,Violin.,Yes
"According to Greek legend, which sorceress helped Jason to find the golden fleece and became his wife?",Medea,Medea.,Yes
"What were Operation Ranger, Operation Buster-Jangle, Operation Tumbler-Snapper, Operation Upshot-Knothole and Operation Teapot?",Nuclear test series carried out in the USA,Nuclear test series in the United States.,No
"Who created St Trinians, a fictional girls' boarding school, the subject of 8 books and 7 films between 1954 and 2009?",Ronald Searle,Ronald Searle.,Yes
"""George Bernard Shaw described dancing as """"a vertical expression of ... """" what?""",A horizontal desire,A vertical expression of a horizontal desire.,Yes
"""In what sport are the """"stones"""" aimed at the """"house""""?""",Curling,Curling.,Yes
Who married Heidi Klum in May 2005?,Seal,Seal married Heidi Klum.,Yes
What word is used to describe someone within an organisation who leaks information?,Mole,Mole.,Yes
Ninette de Valois was involved professionally in what activity?,Ballet,Ballet dancing and choreography.,Yes
The mountain massif called Maxwell Montes contains the highest point on the surface of which planet?,Venus,Venus.,Yes
What is the term used when one team is beaten throroughly by another?,Whitewash,Blowout or rout.,No
Which of the continents is the smallest in area?,Australia,Australia.,Yes
"""What Latin phrase means means to speak under one's breath, literally """"under voice""""?""",Sotto voce,Sub voce.,No
What natural effect is only visible during a total eclipse of the sun?,Baily's Beads,Baily's beads and diamond ring effect.,Yes
"Stirling who was a British racing driver, who raced from 1948 to 1962 and won 212 of the 529 races he entered, including 16 Formula One Grands Prix?",Moss,Stirling Moss.,Yes
The Nobel Peace Prize winner for 2010 lives in which country?,China,Liu Xiaobo lived in China.,Yes
"""Who wrote the music for the musical """"A Chorus Line""""?""",Marvin Hamlisch,Marvin Hamlisch wrote the music.,Yes
Which English town is known for its collection of concrete cows?,Milton Keynes,Milton Keynes.,Yes
"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?",Cardigan,Cardigan.,Yes
How many US states border Lake Superior?,3,Three US states border Lake Superior.,No
Who was the last Anglo-Saxon king of England?,Harold II,Harold II.,Yes
Where was the world's tallest road bridge opened in December 2004?,France,"Millau, France.",Yes
What was named after American frontiersman James Bowie?,Knife,The Bowie knife.,Yes
What team does controversial quarterback Michael Vick play for in the National Football League in the USA?,Philadelphia Eagles,He last played for the Pittsburgh Steelers.,No
Elvis Presley sang a few lines in German on which US hit song?,Wooden Heart,"""WOODEN HEART""",Yes
"""Charlie Sheen starred as which character in the TV series """"Two and a Half Men""""?""",Charlie,Charlie Harper.,Yes
"""Who published """"A Book of Nonsense"""" (a volume of limericks that went through three editions) in 1846, """"The History of the Seven Families of the Lake Pipple-Popple"""" in 1865, and """"The Owl and the Pussycat"""" in 1867?""",Edward Lear,Edward Lear.,Yes
"Who performed in the first concert link into space, which was sent from Anaheim California to the space shuttle Discovery in 2005?",Paul McCartney,Bryan Adams performed the concert.,No
"The Fan, Westhead, Becher's Brook, Foinavon's, Canal Turn, Valentine's Brook, the Booth, the Anchor Bridge and the Chair are features of a venue for what sport?",Horse racing,Horse racing (Aintree).,Yes
What innovation was introduced to Britain by Prime Minister William Pitt the Younger in 1798?,Income tax,Income tax to finance war efforts.,Yes
"What nickname was given to Ana Cumpna, also known as Anna Sage, who betrayed John Dillinger to the police when he attended the Biograph Theater in Chicago?",Lady in Red,"""Women in Red"".",No
What is the word for a small amount of money?,Pittance,Change or balance.,No
"MC Romeo, Dan Da Man, Mr Akira and Mr C were members of which group?",So Solid Crew,So Solid Crew.,Yes
"""Who wrote the piece of music recognised in much of the Western world as """"The Wedding March"""" (or as """"Here Comes The Bride"""")?""",Mendelssohn,Felix Mendelssohn.,Yes
Tanzania was renamed in 1964. What was it previously called?,United Republic of Tanganyika and Zanzibar,Tanganyika and Zanzibar merged to form Tanzania.,No
What was the UK #1 single released by the band Stereophonics in 2005?,Dakota,"""Dakota"" was the UK #1 single in 2005.",Yes
Who was the legless World War II fighter pilot who was detained in German prisoner of war camps for 4 years?,Douglas Bader,Douglas Bader.,Yes
"""In the TV series """"Dastardly and Muttley in Their Flying Machines"""", what is the name of Dastardly's squadron?""",Vulture,"Vulture Squadron or ""The Vulture"" Squadron.",Yes
"Which game that contained many D&D; features and references, including a computer controlled dungeon master, created in 1975 by Will Crowther on a DEC PDP-10 computer, the first widely used adventure game, was significantly expanded in 1976 by Don Woods, that inspired a group of students at MIT to write a game called Zork in the summer of 1977 for the PDP-10 minicomputer which became quite popular on the ARPANET?",Adventure,Colossal Cave Adventure.,Yes
For which two films has Michael Caine won Oscars?,"""""""The Cider House Rules"""" & """"Hannah and Her Sisters""""""","Hannah and Her Sisters, The Cider House Rules.",No
Which member of the British royal family was born on 8/8/88?,Princess Beatrice of York,"Beatrice of York, Princess of the UK.",No
"""In Scotland and northern England, what is a """"bairn""""?""",Child,A child.,Yes
"Which American carnivorous mammal feeds by night, habitually dipping its prey into water before eating?",Racoon,Raccoon.,No
"What 2008 film is an adaptation by Andrew Davies of a book by Sarah Waters, that is set in a Victorian-era women's prison?",Affinity,Affinity.,Yes
What is the official residence of the Vice President of the USA?,Number One Observatory Circle,Number One Observatory Circle in Washington D.C.,Yes
"Raph Koster, Brad McQuaid, Mark Jacobs, Brian Green and J. Todd Coleman are influential in MMORPG design. What is MMORPG?",Massively Multiplayer Online Role-Playing Game,Massively Multiplayer Online Role-Playing Game.,Yes
What is traditionally written in a ledger?,Accounts,Financial transactions and account information.,No
What is the name for the pieces of wood that sit on top of cricket wickets?,Bails,Bails.,Yes
"""In September 2010, why did Chen Xiaomei of the city of Xian announce that she was suing a cinema and film distributors of Chinese box office hit """"Aftershock""""?""",Wasting her time,Film likeness used without her permission.,No
The Jurassic period is known for the appearance on earth of what?,Dinosaurs,Dinosaurs and other reptiles.,Yes
"In Norse mythology, who was best known for carrying a hammer?",Thor,Thor.,Yes
"What is commemorated in Great Britain by Trafalgar Day every 21 October, and by the name of Trafalgar Square in London?",A 19th century sea battle,"Battle of Trafalgar, Admiral Horatio Nelson's victory.",No
"Who was the last English king from the House of Normandy, succeeded by Henry II in 1154, the first of the Plantagenets?",Stephen,Stephen of Blois.,Yes
"Which 20th century American composer wrote the American Festival overture in 1939, and Symphony No. 3 considered the most important new work of 1942, and won the Pulitzer Prize in 1943?",William Schuman,William Schuman.,Yes
Italian brothers Francesco and Edoardo Molinari play what sport?,Golf,Golf.,Yes
In which sea is the The Grenadines island chain?,Caribbean,The Caribbean Sea.,Yes
Who was the first African American holder of the world heavyweight boxing title?,Jack Johnson,"Jack Johnson, 1908.",Yes
"Which tree, native to Western Australia, has flowers that are used to make honey, and long, straight trunks which provide a deep rich reddish-brown, termite-resistant wood with an attractive grain?",Jarrah,Jarrah tree.,Yes
"From 1937 to 1942 Alan Lomax, who contributed more than 10,000 field recordings of folk music from the USA, the Caribbean, Ireland, Great Britain, Spain, and Italy, was Assistant in Charge of the Archive of Folk Song of what establishment?",The Library of Congress,Library of Congress.,No
"""Which composer wrote """"Night and Day"""", """"I Get a Kick out of You"""", """"Well, Did You Evah!"""" and """"I've Got You Under My Skin""""?""",Cole Porter,Cole Porter.,Yes
"Lloyd's of London, a British insurance and reinsurance market, began around 1688 in what kind of place?",Coffeehouse,A coffeehouse.,Yes
Antananarivo is the capital of which country?,Madagascar,Madagascar.,Yes
"""Dido was """"featured"""" on the song """"Sam"""", which was written and performed by whom?""",Eminem,Will Young and Dido herself was not mainly featured.,No
"In April 2010, ash from the eruption of which mountain caused flights to be cancelled in Northern Europe ?",Eyjafjallajkull,Eyjafjallajokull.,No
What is the maximum number of points that can be scored from a single shot in basketball?,3,Three points.,No
"What name is given to a woman divorced, separated, or living away from her spouse?",Grass widow,"A spinster or a divorcée is not correct term. 
A female is a Separated woman.",No
"""Who wrote the poem """"Daffodils""""?""",William Wordsworth,William Wordsworth.,Yes
What are the topmost 7 vertebrae of the backbone called?,Cervical,Cervical vertebrae.,Yes
"In the 18th century, the capital of Russia was moved from Moscow to where?",St Petersburg,St. Petersburg.,No
"The language known as Putonghua, Guoyu, Gwok Yu and Huayu, is spoken in Taiwan, Malaysia and Singapore and where else that it is the official language?",People's Republic of China,China and other Chinese communities worldwide.,No
Damascus is the capital of which country?,Syria,Syria.,Yes
"""Which """"Bond girl"""" met Ringo Starr when they starred in the 1981 film """"Caveman"""", and later married him?""",Barbara Bach,Barbara Bach met and married Ringo Starr.,Yes
"""What does the word """"dissemble"""" mean?""",To conceal something,To hide or conceal one's true intentions.,No
Which English cricket captain had a well-publicised row with Pakistani umpire Shakoor Rana in Faisalabad in 1987?,Mike Gatting,Mike Gatting.,Yes
"""The score for the Broadway musical """"Kismet"""" was adapted from the music of which composer?""",Borodin,Borodin,Yes
What acid is found in tea?,Tannic,Tannic acid.,Yes
"A tour by a sporting group caused major unrest in their host country,1971 in Australia and 1981 in New Zealand, leading to a state of emergency being declared during the tour. Which was the group?",South African rugby union national team,The Springbok rugby team.,No
Which golf club is designed to hit the ball the furthest distance?,Driver,The driver golf club.,Yes
Where is the grave of Bing Crosby?,"Culver City, Los Angeles County, USA","Toluca Lake, California, at Holy Cross Cemetery.",No
"Under the Treaty of Breda (31 July 1667), negotiated to end the Second Anglo-Dutch War, the Dutch kept the colony of Suriname conquered from the English, and left the English with what area of land?",New Amsterdam,"New York, and the islands of New Amsterdam.",Yes
"In 1949, who became the youngest player to represent England in test cricket?",Brian Close,"Brian Close, aged 18 years 152 days.",Yes
Lemony Snicket wrote which series of children's books?,A Series of Unfortunate Events,A Series of Unfortunate Events.,Yes
"""Who was known in the 1991 Gulf War as """"Stormin' Norman""""?""",General Schwarzkopf,Norman Schwarzkopf.,No
"What was the name of the alliance of trading cities and their guilds, each with their own law system and with armies for mututal aid, that established and maintained a trade monopoly along the coast of Northern Europe, from the Baltic to the North Sea and inland, from the 13th to 17th centuries?",Hanseatic League,The Hanseatic League.,Yes
The Royal Navy introduced limes to the standard diet for crewmen to prevent what?,Scurvy,Scurvy disease.,Yes
"""The TV series """"Married... with Children"""" was set in which city?""",Chicago,Chicago.,Yes
"What name is given to 2 distinct diseases, one of which is a condition due to deficiency of secretion of the pancreas, the other associated with diseases of the pituatary gland?",Diabetes,Diabetes.,Yes
"What is the term for the attribution of human characteristics to non-human creatures and beings, phenomena, material states and objects or abstract concepts, (e.g. animals, plants and forces of nature such as winds, the rain or the sun)?",Anthropomorphism,Anthropomorphism.,Yes
"""What does """"coup d'etat"""" mean?""",Taking over a government,Sudden overthrow of a government or leader.,No
"What was a demonstration sport at the 1988 Olympics in Seoul, when the opening ceremony featured a mass demonstration of it, involving hundreds of adults and children?",Taekwondo,Taekwondo.,Yes
George Cukor directed which 1964 film musical?,My Fair Lady,My Fair Lady.,Yes
"What was the name given in England to the ringing, introduced by William the Conqueror, of a bell at sunset or 8pm in winter as a signal to extinguish fires and lights?",Curfew,Curtfew.,No
"""What is the name of the feast day in the Western Christian calendar which occurs on 29 September to honour the defeat of Lucifer in the battle for the heavens, for which the traditional meal includes goose (a """"stubble-goose"""", i.e. one prepared around harvest time)?""",Michaelmas,Michaelmas.,Yes
Lenny Bruce was in what field of entertainment in the 1960s?,Standup comedy,"Comedy, specifically stand-up comedy and social satire.",No
"In what country did rugby football originate, and when were the first rules written?",England.  1845,"England, 1845, Rugby School.",No
"In which country were democratic elections held in May 1989, and though Guillermo Endara was elected president, the results were annulled by the existing government?",Panama,Panama.,Yes
"Which is the film, about canine reincarnation and the relationships between father and son and master and dog, based on an Alan Sharp adaptation of a short novel by Irish author Lord Dunsany?",Dean Spanley,Dean Spanley (2008 film),Yes
"What are Jimmy Reed, Skip James, Elmore James & Big Bill Broonzy best known as?",Blues musicians,American blues musicians.,Yes
"What ancient civilization was centred in the north of ancient Canaan, with its heartland along the coastal regions of modern day Lebanon, Syria and Israel?",Phoenicia,The Phoenicians.,Yes
Where was the first permanent European settlement established in North America?,Florida,"St. Augustine, Florida.",Yes
"What is the medical description of the loss of hair from the head or body, sometimes to the extent of baldness?",Alopecia,Alopecia.,Yes
"The Treaty of Kiel, between the UK, Sweden and Denmark-Norway was intended to ease hostilities relating to which war?",Napoleonic,Napoleonic Wars.,Yes
"On 31 May 2010, the President of which country announced his resignation after local politicians criticised comments he made in relation to overseas military deployments?",Germany,"Japan's President not found, possibly Japan's PM Hatoyama.",No
"In marine or naval terminology, what is special about dog watches?",They are 2 hours long,Divided into two shorter watches.,No
"Who became the first king of the northern Israelite Kingdom of Israel after the revolt of the ten northern Israelite tribes against Rehoboam, who reigned for twenty-two years in the 900sBC?",Jeroboam,Jeroboam I.,Yes
What was the name of two tyrants who ruled Syracuse in the 2nd century BC?,Dionysius,"Hieron and Gelon's descendants, Hieronymus.",No
How many decades are there in a millennium?,100,"10 decades in a century, 10 centuries in millennium.",No
"Between 1783 and 1865, Englishmen William Wilberforce, Sir Cecil Wray and Dr Beilby Porteus, Africans Olaudah Equiano and Ignatius Sancho and, in the USA, William Lloyd Garrison, John Greenleaf Whittier, Harriet Beecher Stowe, Frederick Douglass, Charles Henry Langston and John Mercer Langston were leading figures in which movement?",Abolition of the slave trade,Abolitionist movement.,No
What London establishment was created in 1753 by Sir Harris Sloane?,The British Museum,The British Museum.,Yes
"In 2006, Stephen Harper became the Prime Minister of which country?",Canada,Canada.,Yes
