question,ground_truth
"In Greek mythology which of the Olympian gods was the goddess of fertility, agriculture, horticulture, grain and harvest?",Demeter.
Of which US rock band is Anthony Kiedis a founder member and lead singer?,Red Hot Chili Peppers.
Which British island was known to the Romans as Vectis?,The Isle of Wight.
Which British island was known to the Romans as Mona?,Anglesey.
In Pride and Prejudice what was the first name of Mr Darcy?,Fitzwilliam.
In cooking Florentine means garnished with which vegetable?,Spinach.
Which US president had the middle name Rudolph?,Rudolph is Warren G. Harding's middle name.
In which town is the Octagon Theatre?,Yeovil.
Who was the first female American astronaut?,Sally Ride was the first female American astronaut.
What are cleeks and baffys?,Obsolete golf clubs.
Who won the best actress Oscar at the 2013 ceremony?,Jennifer Lawrence won for Silver Linings Playbook.
Anne Aston was a dizzy blonde hostess of which 1960s TV game show?,Crackerjack.
Rincewind and 'The Luggage' appear in which series of books?,Discworld by Terry Pratchett.
"Goosnargh Corn-fed Chicken and Duck is championed by chefs and five of the ten Lancashire cheese dairies listed by the British Cheese Board are located in Goosnargh parish, in which town or city is Goosnargh?",Preston.
Name the French artist (1839-1906) whose painting 'The Card Players' is one of the most expensive ever sold?,Paul Cézanne.
Which ship did Drake command against the Spanish Armada?,"The Golden Hind, then The Revenge."
Which song was the only UK No. 1 hit single for the Human League?,"""Don't You Want Me""."
"'An Island Parish' is a documentary series on BBC2, in which islands were the first four series set?","Scilly Isles, Barra, and Sark, and Anguilla."
Which TV programme's 'experts' include Francis Prior and Phil Harding?,Time Team.
Who wrote the Mott The Hoople hit 'All The Young Dudes'?,David Bowie wrote 'All The Young Dudes'.
Dao is a region of wine production in which country?,Portugal.
Moroni is the capital of which Indian Ocean island group?,Comoros.
Arthur Thistlewood led which failed conspiracy in 1820?,The Cato Street Conspiracy.
Who was the author of 'Daniel Deronda' published in 1876?,George Eliot.
In Kipling's 'The Jungle Book' what kind of creature is Hathi?,Elephant.
What is the common name for the garden shrub pyracantha?,Firethorn.
TV host Cat Deeley married which comedian in 2012?,Patrick Kielty.
"In electromagnetism, which unit is found by multiplying volts by amperes?",Watts
Former Blue Peter presenter Konnie Hug married which presenter and comic writer in 2010?,Konnie Huq married Charlie Brooker.
The sea between Australia and New Zealand is named after an explorer of what nationality?,"The Tasman Sea, named after Dutch explorer Abel."
"St Kitts and Nevis is the smallest country in the Americas, but what is the smallest country on the American continental land mass?",El Salvador is the smallest.
"Introduced in 1908, for what does the B in the degree-equivalent course MBA stand?",Business.
"What German battleship was sunk in December 1943 during the Battle of the North Cape, by HMS Duke of York and her escorts?",Scharnhorst.
"What German battleship was sunk in November 1944 by Barnes-Wallis' Tallboy bombs, dropped by Lancaster bombers?",Tirpitz.
"Which UK city is traditionally associated with jute, jam and journalism?",Dundee.
What was the only British Number One single by The Four Tops?,"Reach Out, I'll Be There."
Which famous conductor conducted the very first performance of Hoist's 'The Planets' in 1918?,Adrian Boult conducted the premiere of 'The Planets'.
What is 505 in Roman numerals?,DVII
Which TV detective was assisted by DS George Toolan?,Taggart.
In which district of East London did Jack the Ripper operate?,Whitechapel district.
Who is the Queen's eldest grandchild?,"Peter Phillips, son of Anne."
Mitt Romney was Governor of which state 2003-7?,Massachusetts.
"For what does the G stand in the navigational aid, usually known as a `GPS'?",Global.
Which word is used for the letter U in the phonetic alphabet?,Uniform.
"In 1956, which peninsula was the first part of Britain to be designated an 'Area of Outstanding Natural Beauty'?",The Gower Peninsula in Wales.
"In the Sherlock Holmes book 'The Sign of Four', what is the 7% solution?","Cocaine solution, Sherlock's addictive vice."
Who was the original base player with The Shadows?,Jet Harris.
What is the trophy awarded to the women's world team champions in badminton?,Uber Cup.
"""Who painted """"Dedham Vale"""" and """"The Valley Farm""""?""",John Constable.
The male name Beau is a shortened version of what name?,Beauregard.
High Willhays is the highest point of what National Park?,Dartmoor National Park.
Precisely where were the Winter Olympics of 1932 and 1980 both held?,"Lake Placid, New York."
"What is the title of Tony Blair's autobiography/memoir published in 2010, which covered events from 1994 to his resignation as Prime Minister?",A Journey: My Political Life.
'Paralympics' is a combination of Olympics and what other word?,"""Paralympics"" comes from ""paraplegic""."
Name one of the mascots of the 2012 Summer Olympics.,Wenlock
Malt whisky is made by distilling which grain?,Barley.
Which fashion designer was suspended by Dior after making anti-semitic remarks in a Paris bar in 2011?,John Galliano.
"In 1825 which canal was opened, cutting travel time from New York City to the Great Lakes?",Erie Canal.
"In which US TV series was Peter Graves greeted with the message 'Good morning, Mr Phelps '?",Mission: Impossible
Which African city is served by O R Tambo airport?,Johannesburg.
The name of which island is thought to come from the Norse for 'puffin island'?,Lundey (Puffin Island in Icelandic).
Who was on the English throne when Jack Cade led the Men of Kent in a short lived revolt?,King Henry VI.
Which product is advertised on TV with the slogan 'It does exactly what it says on the tin'?,Ronseal wood stain.
Which man won a record 26 Academy Award 'Oscars'?,"Walt Disney won the most Oscars, 26 awards."
"Which children's fictional character lives at 32, Windsor Gardens, London?","Winnie the Pooh's friend, Paddington Bear."
On a standard keyboard what symbol appears above the number 3?,Number sign (#)
Who is the only man to win a best actor Oscar playing brothers?,"Fredric March in ""Dr. Jekyll and Mr. Hyde""."
Who played the part of 'Fitz' in the TV series 'Cracker'?,Robbie Coltrane played Dr. Fitz.
Which car company has owned the Lagonda name since 1947?,Aston Martin.
"Which BBC TV sitcom about a retired security guard was set at 37 Wyngate Drive in the first series then at 19, Riverbank for the final 5 series?",Last of the Summer Wine.
Which TV personality has written the best-selling autobiography 'My Animals and Other Family'?,Clare Balding.
"Which American singer-songwriter wrote 'Sweet Baby James', the title track of his second album in 1970?",James Taylor.
Which river enters the sea at Whitby in Yorkshire?,The River Esk enters the sea at Whitby.
What is the name of the agreement under which passport controls have been abolished in 22 EU and 4 non-EU states?,Schengen Agreement.
In Greek mythology who was the god of the north winds?,Boreas.
"Which fire-breathing creature of Greek mythology has the head of a lion, body of a goat and the rear of a dragon?",Chimera.
The flag of the Great Socialist People's Libyan Arab Jamahiriya was what single colour?,Green.
"Who was born at Villa Mon Repos, Corfu, in 1921?","Prince Philip, Duke of Edinburgh."
Who was appointed Chief Secretary to the Treasury immediately after the 2010 General Election?,Danny Alexander.
Hagar was the mother of which of Abraham's sons?,Ishmael.
In which Bond film does the villain's car turn into a small aeroplane to enable him to escape?,"The Spy Who Loved Me, 1977, Lotus Esprit."
"Which word can be a golf term, a Space vehicle or a one time boy's comic?",Eagle.
Who is to host the series 'Sing for your Supper' on Channel 5?,Harry Hill hosts 'Sing for your Supper'.
"""What name is given to the maxim """"employees tend to rise to their level of incompetence.""""?""",Peter Principle.
"In the nursery rhyme, which was the last creature eaten by the woman who swallowed a fly?",A horse.
Which Japanese company has bought Horizon Nuclear Power and so has the contract to build nuclear power stations in Britain from 2015?,Hitachi.
In which children's TV series does Shaggy appear?,Scooby-Doo.
Tessera are the individual pieces that go to make up what?,Mosaics.
Who was the star of the film comedies 'The Navigator' (1924) and 'The General' (1927)?,Buster Keaton.
"According to L Frank Baum's 'The Wonderful Wizard of Oz', the Road to the City of Emeralds is paved with what?",Yellow brick.
What is the name of the Sunday before Easter Sunday?,Palm Sunday.
Whom did Malcolm III kill in battle in 1057 to become King of Scotland?,Macbeth.
Brown Willy is the highest point in which county?,Cornwall.
"Which Archbishop of Canterbury led the prayers for Diana, Princess of Wales at her 1997 funeral service?",Archbishop George Carey.
Shining Tor is the highest point in which county?,Cheshire.
"Which river flows through Cork City where it splits in two for a short distance, creating an island on which Cork's city centre is built?",The River Lee.
Which of England's 1966 World Cup winning footballers played for Fulham at the time?,"Bobby Moore did not, but George Cohen did."
Which archipelago in the North Sea belonged to Britain until 1990 when ownership passed to Germany?,Heligoland.
In which US state is Harvard University?,Massachusetts.
A calcifuge is a plant that will grow best where?,"In acidic, low calcium soil conditions."
What was the name of the frog in the children's TV series Hector's House?,Zig Zag the frog
To which group of primates do Aye Ayes belong?,Lemurs.
Which classical author wrote the Anabasis?,Xenophon.
In which country was there a secret police force called the Ton Ton Macoutes?,Haiti.
Which duo had a hit album entitled Sweet Dreams (Are Made of This)?,Eurythmics.
Haiti and the Dominican Republic share which island?,Hispaniola.
At what age does an individual first become entitled to a free TV licence?,75 years old in the United Kingdom.
The name of a knot on a lasso is also the name of a Japanese motor manufacturer. What is the name?,"Honda, also known as a lasso knot."
Who was British Prime Minister at the time of the first Aldermaston ban the bomb march?,Harold Macmillan.
What species of fly has the Latin name calliphora vomitoria?,Bluebottle fly.
What was introduced by the Volstead Act?,Prohibition in the United States.
Matthew Webb swam the English Channel and then drowned swimming where?,Niagara River.
During the Falklands War which ship was the British flagship?,HMS Hermes.
Which physicist's principle asserts that the momentum & position of a particle cannot both be precisely determined at the same time?,Heisenberg's Uncertainty Principle.
Who wrote the original novel 'The Phantom of the Opera' in 1910?,Gaston Leroux.
For which county did W G Grace play cricket for most of his career?,Gloucestershire.
For which county did Ted Dexter play cricket for most of his career?,Sussex.
"Which cocktail consists of rum, curacao and lime juice?","Blue Lagoon cocktail, not quite, it's Daiquiri Blue."
Which illness is commonly treated with the drugs lisinopril and ramipril?,Hypertension
"The six series of which sitcom featuring Richard O'Sullivan, Paula Wilcox and Sally Thomsett were first broadcast in the 1970s?",Man About the House.
Which National Trust property in Wiltshire was once owned by William Henry Fox-Talbot the pioneer of photography?,Lacock Abbey.
"""In which year was the radio serial """"The Archers"""" first broadcast nationally?""",1951.
"The 27 episodes of which sitcom featuring Julia Mckenzie, Anton Rodgers and Ballard Berkley were first broadcast in the 1980s?",Fresh Fields.
Which breakfast cereal was invented by William Davies in 1954?,Shreddies
Who presents the BBC4 cerebral quiz show 'Only Connect'?,Victoria Coren Mitchell
"John Crome was the main artist of which group of English painters, named after the city where he was born?",Norwich School of painters.
"Which choral work by Handel, still used at coronations, was written originally for the Coronation of King George II in 1727?",Zadok the Priest.
La Soufriere is an active volcano situated on which West Indian island?,St Vincent.
In which sport is the Vince Lombardi awarded?,"American Football, the NFL."
Nagaland is a constituent state of which SE Asian country?,India.
In which year were Queen Victoria and Prince Albert married; the uniform penny post introduced in the UK; Tchaikovsky was born?,1840.
Who originally provided the voice for TV's 'Basil Brush'?,Ivan Owen initially voiced Basil Brush.
Norfolk Black and Norfolk (or Cambridge) Bronze are what type of animal?,Turkeys.
Name the year: Kate Middleton is born; Mail on Sunday first published; Laker Airways collapsed,1982
What is Canada's most populous province?,Ontario.
Which indigenous people call their country Aotearoa?,Māori people call it Aotearoa.
Which British comic included Desperate Dan and Korky the Cat?,The Dandy.
"Who was Pope during most of the 1914-18 Great War, succeeding Pius X in September 1914?",Benedict XV.
The line 'The mirror crack'd from side to side' comes from which poem?,The Lady of Shalott.
"Which animal has breeds called Flemish Giant, French Lop and Netherland Dwarf?",Rabbit
What does someone with ophthalmophobia fear?,Eyes or being stared at.
"In measurement, a hand is equal to how many inches?",4 inches.
"""Who presents """"The Unbelievable Truth"""" on BBC Radio 4?""",David Mitchell.
What is the flavouring of the liqueur Amaretto?,Almond flavouring.
Which island nation lost a day in Dec. 2011 by moving the International Date Line to their east?,Samoa.
"Which Sanskrit word appears as a concept in both Buddhism and Hinduism, etc., and means Law or Natural Law?",Dharma.
Who hosts the ITV show 'Take Me Out'?,Paddy McGuinness.
"On board a ship, what is the purpose of the rope known as a halyard?",Raises and lowers the sails or flags.
Which coastal West African country borders only Guinea and Liberia?,Sierra Leone.
King Charles II nicknamed which US state (then colony) 'Old Dominion' for its loyalty to the Crown during the Commonwealth?,Virginia.
Which Roman Emperor succeeded his father Vespasian in 79?,Titus succeeded his father Vespasian.
"Which US state was admitted to the Union in 1876, hence its nickname of 'the Centennial State'?",Colorado.
"Which group was founded by Steve Marriott, Ronny Lane, Kenney Jones and Jimmy Winston, Winston soon being replaced by Ian McLagan?",The Small Faces.
In 2001 which movie was the first winner of the Best Animated Movie Oscar?,Shrek won the first Oscar.
The Griffith Observatory is situated in what US City?,Los Angeles.
The Radio 5 Live show 'Fighting Talk' is hosted by which presenter?,"Colin Murray, then later by JB and others."
What country borders only Romania and Ukraine?,Moldova.
"What is an alternative name for vitamin B9, essential in promoting cell growth, particularly during pregnancy?",Folic acid.
"The Pilgrimage of Grace was a popular uprising in 1536, led by Robert Aske, in which city did it take place?",York.
Which common English word is derived from the ancient Greek word meaning 'the area in front of the stage where the chorus performs'?,Orchestra.
Andrew Robson writes a daily column for The Times on what topic?,"Bridge, a card game."
The bones of King Richard III have been discovered under a car park in which English city?,Leicester.
Which Briton won the Nobel Prize for Literature in the 1980s?,William Golding in 1983.
"In Rugby Union, how high, in metres, is the crossbar?",3 metres.
Which optical toy was first patented in 1817 by David Brewster?,Kaleidoscope.
Give a year in the life of poet and painter Dante Gabriel Rossetti.,1860: artistic breakthrough and personal turmoil.
Who was the narrator in the novel `Moby Dick'?,Ishmael.
Which art movement was pioneered by Pablo Picasso and George Braque?,Cubism.
Who was the founder of Sikhism?,Guru Nanak.
"The youngest gold medalist for team GB at the 2012 Olympics, Jade Jones, won in which sport?",Taekwondo.
"With regard to book titles, if TDVC is 'The Da Vinci Code', which E L James book is F S 0 G?",Fifty Shades of Grey.
"In musical terminology, what word describes sliding between two notes?",Glissando.
Which book begins 'When he was nearly thirteen my brother Jem got his arm badly broken'?,To Kill a Mockingbird.
Who directed the first two Beatles' films 'A Hard Day's Night' and 'Help! '?,Richard Lester directed them.
Which bass guitarist with the Animals became the manager of Jimi Hendrix?,Chas Chandler.
Which female singer won her second Mercury Music Prize in 2011 for her album let England Shake'?,PJ Harvey.
"In which book, first published in 1961, would you find the character Milo Minderbinder?",Catch-22 by Joseph Heller.
Which constituency did Harold Macmillan represent when he was Prime Minister?,"Bromley, later renamed Bromley and Chislehurst."
Which British motorcycle manufacture produced models called 'Bonneville' and 'Thunderbird'?,Triumph.
Which Scotsman became the first European to reach the River Niger in 1796?,Mungo Park.
Who was the UK Poet Laureate or the longest period?,"Tennyson, 1850-1892, 42 years."
Who had a UK No.1 hit with the instrumental 'Eye Level' in 1973?,Simon Park Orchestra.
Otology is a branch of medicine concerned with which part of the body?,The ear.
"In Channel 4's 1987 adaptation of Tom Sharpe's novel 'Porterhouse Blue', who played the part of Skullion the Head Porter?",Davy Bradley played Skullion.
"According to the Guinness Book of Records, which European country's flag is the oldest?",Denmark's flag is the oldest.
Who wrote the 1984 Booker Prize winning novel 'Hotel Du Lac'?,Anita Brookner.
Who is the current Director General of the BBC?,Tim Davie is the current Director General.
"Which European country has the same flag as Chad - a blue, yellow and red tricolour?",Romania.
Which American motor manufacturer's logo is the head of a ram?,Dodge.
"Who, c1842, painted the picture Snowstorm - Steamboat off a Harbour's Mouth, now in the Tate?",J.M.W. Turner.
What was the name of the car ferry that capsized whilst leaving Zeebrugge in 1987?,MS Herald of Free Enterprise.
What type of animal is Wilbur in the story Charloffe's Web?,Pig.
On a rail journey from London to Edinburgh from what London terminus station do you depart?,King's Cross.
"What musical term means in a majestic, stately or dignified manner?","Majestically, or ""Maestoso""."
"What is the pen-name of the gossip columnist in the Daily Express, first written by Tom Driberg in 1928 and later Nigel Dempster in the 1960s?",William Hickey.
Which US state is the least populated?,Wyoming.
Which artist painted 'The Laughing Cavalier'?,Frans Hals.
Which artist painted 'Monarch of the Glen'?,Sir Edwin Landseer.
With which pop group is Lou Reed associated?,The Velvet Underground.
The popular 'Humming Chorus' comes from which Puccini opera?,Madama Butterfly.
In one of Walter Scott's Waverley' novels what was The Heart of Midlothian?,The Old Tolbooth Prison.
Lucy Honeychurch is the heroine of which novel by E. M. Forster?,A Room with a View.
In which Verdi opera do the gypsies sing the 'Anvil Chorus'?,Il Trovatore.
"Who was the first President to be an American citizen from birth, having been born after the Declaration of Independence?","Martin Van Buren, the 8th US President."
How many symphonies did Jean Sibelius compose?,Seven symphonies.
Who was the original illustrator of A A Milnes's Minnie the Pooh' stories?,E.H. Shepard.
What type of exhibit can be seen in the military museum at Bovington in Dorset?,Tanks and military vehicles exhibition.
On which part of the body would a Japanese person wear a geta?,Feet.
Which Gilbert and Sullivan opera has the alternate title 'Bunthome's Bride'?,Trial by Jury.
The site of Carthage is now in a suburb of which modem capital city?,Tunis.
What is the currency of Israel?,Shekel.
In which country are the 2019 Rugby Union World Cup finals to be held?,Japan.
The Song of Simeon canticle is also known by which Latin name?,Nunc Dimittis.
"Presented in February 2013, which film won the 2012 Best Film Oscar?",The Artist won the 2012 Best Film Oscar.
"Which designer, artist and poet founded the Kelmscott Press in 1891?",William Morris.
What is the collective noun for a group of alligators?,A congregation of alligators.
In literature and films Admiral Sir Miles Messery was better known as what?,"Miles Messervy, known as M."
"Which Australian cricketer scored a record number of runs for a number 11 batsman in a Test Match innings, during the first Ashes Test of 2013 at Trent Bridge?","Ashton Agar, with 98 runs."
Which desert lies between the Red Sea and the River Nile in Sudan?,Nubian Desert.
"Which disastrous amphibious landing in 1942 used British troops, Canadian troops and US Rangers?",Dieppe Raid in France.
Which food retailer uses the slogan 'We're good with food'?,M&S (Marks and Spencer)
Against which nation did Sachin Tendulkar score his 100th international century?,Bangladesh.
In which country was the inventor of the machine gun Hiram Maxim born?,"United States, then moved to England."
Which April fool's joke did Richard Dimbleby report on in 1957?,Swiss spaghetti tree harvest.
"Which English county is Bletchley Park, the WW II code-breaking centre?",Buckinghamshire.
On which island is President Ulysses S.Grant burled?,"Riverside Park, Manhattan, New York City."
Which former Lancashire town (now in the Metropolitan Borough of Bury) holds an annual Black Pudding throwing contest?,Ramsbottom.
Viva Forever' is a West End musical (2012) based on the music of 'which pop group?,Spice Girls.
Which actor took Russian citizenship in January 2013 amid a row over taxes in his native country?,Gerard Depardieu.
"To what country does the island of Leyte belong, known for the Battle of Leyte Gulf in WW2?",The Philippines.
"""What hit musical show includes """"The Lambeth Walk""""?""",Me and My Girl.
Who was editor of Cosmopolitan magazine for 32 years and wrote the book 'Sex and the Single Girl?,Helen Gurley Brown.
"According to the late Dr Robert Atkins, what kind of nutrient will 'make you fat'?",Carbohydrates.
Which lengthy narrative poem by Lord Byron describes the trials and reflections of a world weary young man?,Childe Harold's Pilgrimage.
In which sport do commentators talk about the 'Corridor of uncertainty'?,Cricket.
Which playwright wrote Murder in the Cathedral?,T.S. Eliot.
What is the term for the thousands of rocky or icy bodies orbiting the sun between Jupiter and Mars?,Asteroids.
"The Washington Post reporters, Carl Bernstein and Bob Woodward, wrote an account of the Watergate scandal, published in 1974. What was the book called?",All the President's Men.
What separates East and West Malaysia?,South China Sea.
"The film '10 things I hate about you', was inspired by which of Shakespeare's plays?",The Taming of the Shrew.
"From which song does this lyric come? 'She calls out to the man in the street, sir can you help me'?",Streets of London by Ralph McTell.
Who won an Oscar for playing a mentally handicapped pianist?,Geoffrey Rush in Shine.
Mass suicide is said to have ended the defence by the zealots of which fortress?,Masada.
"It was double-headed for Austria and Russia, single-headed for Germany. What was it?",The eagle on their coats of arms.
Which Jane Austen character rents Netherfleld Park?,Mr. Rushworth
In which Asian city is the 830 metres high Burj Khalifa?,"Dubai, United Arab Emirates."
Which word begining with V describes the type of image formed when light is reflected from a plane mirror?,Virtual image.
"First published in 1932, what is the official magazine of the British Film Institute?",Sight & Sound.
Who was the only British medal winner at the 2010 Winter Olympics?,Amy Williams.
Complete the general chemical rule: 'Acid plus Base gives Salt plus ...... what?,Water.
"In the novel Rebecca, who is housekeeper at Manderlay?",Mrs. Danvers.
Who is the female presenter of the Channel 4 quiz show '1001 things you should know'?,Sandi Toksvig.
"""Who, the author of the book """"On War"""", stated that """"war is the continuation of politics by other means""""?""",Carl von Clausewitz.
"In the BBC TV series, how are Antonio Carlucci and Genaro Contaldo better known?",As Two Greedy Italians.
Who is the Conservative MP for Tatton?,"Esther McVey, then replaced by Mark Fletcher"
Which country won the men's football gold medal at the 2012 Olympics?,Mexico won the men's football gold.
Who directed the film Life of Pi?,Ang Lee directed Life of Pi.
According to the much recorded song Memphis Tennessee how old was Marie?,Marie was six years old.
"The islands of Hoy, Sanday and Westray belong to which island group?",The Orkney Islands.
Which veteran Hollywood actor played Judge Henry Garth in the TV western series 'The Virginian'?,Lee J. Cobb played Judge Henry Garth.
The 2012 best selling book 'My Animals and Other Family' is written by whom?,Clare Balding.
Lynchburg the home of Jack Daniels whisky is in which US State?,Tennessee.
Monsieur Bibendum created in 1898 is the emblem of which company?,Michelin.
Chang Beer originates from which country?,Thailand.
In which UK City is there a district called Holgate?,York.
"The Royal Armouries has three locations, London, Leeds and which other city?",Portsmouth.
"Which men's world athletics record has been broken only three times since 1935; in 1960, 1968 and 1991?",The high jump record.
Tahini paste is made by grinding which seeds?,Sesame seeds.
Which Australian prime minister was presumed drowned in 1967?,Harold Holt.
"""What does the Latin phrase """"primus inter pares """" mean?""",First among equals.
Which park was the venue for show jumping in the 2012 Olympics?,Greenwich Park.
Which French Canadian became Prime Minister of Canada in 1968?,Pierre Trudeau.
What does a costermonger sell?,"Fresh produce, like fruits and vegetables."
Give the Spanish word for the number eight,Ocho.
Which element has the chemical symbol Cs?,Cesium.
Who was the longest serving US president (12 years 39 days)?,Franklin D. Roosevelt.
Who played Richard DeVere in the TV sitcom To the Manor Born?,Peter Bowles played Richard DeVere.
"Who created the fictional detective Jack Frost, played on TV by David Jason?",R.D. Wingfield created detective Jack Frost.
Which record by Dexy's Midnight Runners was the best-selling UK single of 1982?,Come On Eileen.
The marine iguana can only be found on which islands?,The Galapagos Islands.
What nationality was sculptor Constantin Brancusi?,Romanian.
"Who was the first cricketer to score 10,000 test runs?",Sunil Gavaskar and then Allan Border achieved it.
Which musical instrument has an Italian name fagotto which means a 'bundle of sticks'?,Bassoon.
Who wrote 'Confessions of an English Opium Eater'?,Thomas De Quincey.
Which comedian had the catch phrase 'It's all done in the best possible taste!'?,"John Cleese and Ronnie Barker's ""The Two Ronnies""."
Which King of England was married to Anne of Denmark?,James I of England.
For which TV show does the Dave Arch orchestra regularly provide the musical accompaniment?,Strictly Come Dancing.
"Which native British wildlife includes species called Water, Common and Pygmy?",Shrews.
In which county is Blacksticks Blue cheese produced?,Lancashire.
Which river rises in Huyton and meets the coast at Hightown?,River Alt.
In 2001-2 what was the new name given to Venture Scouts?,Explorer Scouts.
What is the county town of the Irish County Mayo?,Castlebar.
What is the name of the alternative medicine that uses essential oils?,Aromatherapy.
Which soul singer /songwriter wrote the theme music for the 1971 film Shaft?,Isaac Hayes.
Whose mistress was Clara Petacci?,Benito Mussolini's.
"In jazz, which clarinettist/bandleader was known as the King of Swing?",Benny Goodman.
Which mythical hero wielded the magical sword 'Hrunting'?,Beowulf.
Who was the first British astronaut?,Helen Sharman in 1991.
Five docks built on The Manchester Ship Canal in what is now Salford Quays were named after which Roman goddess? The area is now served by a Metrolink stop bearing the same name.,"Vera, no,  the docks are named after Minerva."
"Winston Churchill was the Time magazine 'Person of the Year' in 1949, who is the only British person to be so named since then?",Queen Elizabeth II (1952)
What is added to white wine to make a Kir?,"Cassis, a blackcurrant liqueur."
What type of fish is used in the production of Worcestershire sauce?,Anchovy.
Which company makes/made a watch called 'Submariner'?,Rolex.
Which mythical hero wielded a magical sword called 'Gram'?,Sigurd in Norse mythology.
"As at April 2003, name either of the floodlit Formula 1 Grand Prix races?",Malaysian Grand Prix.
What general term is used to describe any experiment not carried out in a living body?,In vitro.
Sir William Walton's 'Crown Imperial Coronation March' was written for whose coronation?,King George VI's coronation.
Which millionaire introduced a free school milk programme in Chicago to combat rickets?,James Lewis Kraft introduced school milk program.
Ursus arctos horribilis is the scientific name of which animal?,Grizzly bear.
Who skippered an all woman crew in a yacht called 'Maiden' in the 1990 Whitbread Round the World Yacht Race?,Tracy Edwards.
The composer Peter Warlock was the father of which art critic?,Brian Sewell.
Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,Jim Laker.
From which Daphne DuMaurier book is the opening line 'Last night I dreamt I went to Manderlay again'?,Rebecca.
In which country was the actor Sid James born?,South Africa.
If you landed at 'Santa Catarina Airport on which Island would you be in?,"São Vicente Island, Cape Verde."
From which film did the Oscar winning song `Up Where We Belong' come?,An Officer and a Gentleman.
Who coined the phrase 'Somebody up there likes me'?,"Rocky Balboa, from Rocky movie."
If Monday's child is fair of face what is Friday's child?,Friday's child is loving and giving.
"Which famous American comedian quoted 'It only takes one drink to get me loaded, I can't remember if it's the ninth or the tenth?",George Burns.
Name the space craft that exploded 72 seconds after lift off killing all 7 crew members in 1986.,Challenger.
In fashion and dress what is a skinny rib?,A narrow knit fabric ribbing type.
"To within 2 either away, how many classic races did Lester Piggott win?",30 classic races.
In which sport is the Solheim Cup contested?,Golf.
In which modern country is the ancient city of Petra?,Jordan.
"In Imperial measurement, how many pounds are there in a hundredweight?",112 pounds in a hundredweight.
Which wading bird is the symbol of the RSPB?,Avocet.
"If the words Posta Shqiptare appear on a postage stamp, from which country does it come?",Albania.
"What was the name of the lion in C S Lewis's book 'The Lion, The Witch and The Wardrobe'?",Aslan.
The Alfred Hitchcock films Rebecca and The Birds were based on novels by which author?,Daphne du Maurier.
"On an Ordnance Survey map what symbol, along with a date, is used to denote a battle?",Crossed swords.
The most southerly part of mainland Australia is in which state?,Victoria.
The most northerly part of mainland Australia is in which state?,Queensland.
According to the Old Testament of the Bible who was the brother of Moses?,Aaron
What is the surname of the US astronaut after whom the Thunderbirds character John Tracy is named?,"Tracy, after Scott Crossfield."
Fred Scuttle was one of the best-known characters of which British comedian?,Ronnie Barker.
Which instrument plays the A note to which the orchestra tunes before a performance?,Oboe.
"""In which North American city would you find a baseball team called the""""Blue Jays""""?""",Toronto.
Who succeeded Nelson Mandela as South African president?,Thabo Mbeki succeeded Nelson Mandela.
Which family left Cliveden House in Buckinghamshire shortly after the Profumo Affair of the 1960s?,The Astor family left Cliveden House.
Which female country and Western singer died in a plane crash in Tennessee in 1963?,Patsy Cline.
In the 1920s by what name did Angelo Siciliano become better known?,Charles Atlas
"What is the astronomical link between Hell, Birmingham and Archimedes?","Hell crater on Moon, Archimedes crater nearby."
"The Welsh river Elwy burst its banks in November 2012, flooding much of which city?",St Asaph.
Which Rugby Union Premiership team play home fixtures at Kingston Park?,Newcastle Falcons.
What was the theme of the designs that appeared on the reverse of £1 coins from 2004 - 2007?,Bridge designs from the UK's constituent countries.
Which literary character is the best known creation of the writer Earl Derr Biggers?,Charlie Chan.
Dave and Ansell Collins had a U.K No 1 hit with which song?,"""Double Barrel""."
The religious order of Poor Ladies of San Damiano has what more common name?,Poor Clares.
Private Eye refers to which member of the Royal Family as Keith?,"Prince Philip, Duke of Edinburgh."
"""According to an advertising campaign in the 1990s, what beer was """"The cream of Manchester""""?""",Boddingtons.
Which 1980s TV sitcom starred Keith Barron and Gwen Taylor as a couple on holiday with friends in Spain?,"Duty Free, starring Keith Barron and Gwen Taylor."
Which French physicist (1852-1908) shared the Nobel Prize for Physics with the Curies in 1903 and has the SI unit of radioactivity named after him?,Henri Becquerel.
Who wrote the epic poem The Faerie Queen c.1590 - 1596?,Edmund Spenser.
Which English monarch was the last to be born in France?,Henry VI of England.
Which musical instrument is associated with Alison Balsam?,Trumpet.
"The painting A Dance to the Music of Time 1634 - 1635 displayed in the Wallace Collection, London is by which artist?",Nicolas Poussin.
Who directed the 1966 film 'A Countess from Hong Kong?,Charlie Chaplin.
In which town or city in Wales is the baked bean museum of excellence?,Portmeirion.
Which band released the 1970 album 'In the Wake of Poseidon'?,King Crimson.
Published in 2013 who wrote the novel 'The Kill List'?,Frederick Forsyth.
Who was the 8th President of the United States from 1837- 1841?,Martin Van Buren.
Which Florentine painter 1535-1607 used the name Bronzino after the death of his 'uncle'?,"Agnolo di Cosimo, known as Bronzino."
"""Tom and Ben Cooper play international cricket for which """"non-test playing"""" country?""",Netherlands.
Who was the Defence Lawyer in the Leopold and Loeb murder trial of 1924?,Clarence Darrow.
What in South America is a pampero?,Strong cold wind in Argentina and Uruguay.
